,nx,ny,J,h,energy,mx,mx_s,mz,use_sparse,energy_per_site,type
0,5,5,1.0,0.0,-39.99999999999999,0.08468808639606937,0.08468808639606937,9.366932786943981e-17,True,-1.5999999999999996,ed
1,5,5,1.0,0.1,-40.0412538771951,-0.15632433504403878,-0.1564981174652745,-0.0400019785524349,True,-1.6016501550878042,ed
2,5,5,1.0,0.2,-40.16506196000442,-0.18801227150864663,-0.18884959079493108,-0.08001553584669542,True,-1.606602478400177,ed
3,5,5,1.0,0.30000000000000004,-40.371563039996325,0.0745563715343179,0.07530537302973815,-0.12005078729340797,True,-1.6148625215998529,ed
4,5,5,1.0,0.4,-40.66098657100188,-0.18778155678061567,-0.19114733021440208,-0.16011492048311154,True,-1.6264394628400751,ed
5,5,5,1.0,0.5,-41.033649901224194,-0.07031007751543444,-0.07228829029960042,-0.20021073242595364,True,-1.6413459960489678,ed
6,5,5,1.0,0.6000000000000001,-41.48995446321245,0.017164414384819547,0.01786376851014852,-0.24033517725010925,True,-1.659598178528498,ed
7,5,5,1.0,0.7000000000000001,-42.03038099437325,-0.0004009876641173962,-0.0004233742514449892,-0.2804779371786014,True,-1.68121523977493,ed
8,5,5,1.0,0.8,-42.655483887109156,5.5896130645706586e-06,6.0003448892917855e-06,-0.3206200288520887,True,-1.7062193554843663,ed
9,5,5,1.0,0.9,-43.36588479470233,1.3986415076687356e-06,1.5298486195345413e-06,-0.36073245184291625,True,-1.7346353917880932,ed
10,5,5,1.0,1.0,-44.16226566032894,1.2121504686415833e-08,1.353897652965644e-08,-0.40077488803023437,True,-1.7664906264131577,ed
11,5,5,1.0,1.1,-45.045361473370264,-8.851789136353026e-09,-1.0117617095477845e-08,-0.44069451817813415,True,-1.8018144589348106,ed
12,5,5,1.0,1.2000000000000002,-46.01595363118253,-2.6131882162307316e-09,-3.063052712261599e-09,-0.4804252956042102,True,-1.8406381452473013,ed
13,5,5,1.0,1.3,-47.07486693075877,-9.54456569954241e-11,-1.1496992090772661e-10,-0.5198889052433724,True,-1.882994677230351,ed
14,5,5,1.0,1.4000000000000001,-48.22297984170165,-1.1778198177165082e-10,-1.4609134670620788e-10,-0.5590007846833774,True,-1.928919193668066,ed
15,5,5,1.0,1.5,-49.46127408160817,2.262860070841017e-12,2.89549567325351e-12,-0.5976881684236154,True,-1.9784509632643266,ed
16,5,5,1.0,1.6,-50.7909799837025,2.4981108385147494e-13,3.3027785368451746e-13,-0.6359294584544546,True,-2.0316391993481,ed
17,5,5,1.0,1.7000000000000002,-52.213907640703994,5.305970248959181e-13,7.268853269193626e-13,-0.6738153096979592,True,-2.0885563056281597,ed
18,5,5,1.0,1.8,-53.73302713252498,-1.1057487752134149e-13,-1.5711289119551663e-13,-0.7115895052623894,True,-2.149321085300999,ed
19,5,5,1.0,1.9000000000000001,-55.35309792665428,-5.6686014406794826e-14,-8.393593935200757e-14,-0.7495262036152226,True,-2.2141239170661713,ed
20,5,5,1.0,2.0,-57.08039618245133,-2.547105048882912e-14,-4.041850905966351e-14,-0.7874085663357987,True,-2.2832158472980533,ed
21,5,5,1.0,2.1,-58.919783700017256,1.0468162364413167e-14,1.761403526292517e-14,-0.8237317523380651,True,-2.3567913480006903,ed
22,5,5,1.0,2.2,-60.86912633584733,1.2324799774242256e-14,1.9189733608099158e-14,-0.8558415025664381,True,-2.434765053433893,ed
23,5,5,1.0,2.3000000000000003,-62.91621587201048,-6.930113685144034e-15,-1.162752759346312e-14,-0.8817485350178427,True,-2.5166486348804193,ed
24,5,5,1.0,2.4000000000000004,-65.04257623808034,1.2735845908526883e-15,1.7790006983950007e-15,-0.9014242501193985,True,-2.6017030495232136,ed
25,5,5,1.0,2.5,-67.22988321043752,3.602691594037772e-15,5.667065331158742e-15,-0.916118186226807,True,-2.689195328417501,ed
26,5,5,1.0,2.6,-69.46342435914858,-5.034779421250139e-17,-4.471047101848598e-16,-0.9272386618695205,True,-2.778536974365943,ed
27,5,5,1.0,2.7,-71.73243459701267,-3.7785599782090905e-15,-6.63572851194042e-15,-0.9358744591706994,True,-2.869297383880507,ed
28,5,5,1.0,2.8000000000000003,-74.02923998021035,-7.57322475812376e-17,1.2573491480957386e-16,-0.9427667362388408,True,-2.961169599208414,ed
29,5,5,1.0,2.9000000000000004,-76.3483324770429,-6.7100198886818e-16,-5.379789350904693e-16,-0.9484035951961306,True,-3.053933299081716,ed
30,5,5,1.0,3.0,-78.68567686257808,-2.2047820828110937e-16,6.96417627116846e-16,-0.953108937435583,True,-3.147427074503123,ed
31,5,5,1.0,3.1,-81.03824394507923,-2.3031385648149092e-15,-1.6179691014660517e-15,-0.9571029765188568,True,-3.2415297578031694,ed
32,5,5,1.0,3.2,-83.40370474149066,4.2691206704290134e-16,8.771819806172455e-16,-0.9605399153480643,True,-3.3361481896596263,ed
33,5,5,1.0,3.3000000000000003,-85.78022928576019,6.533839547811822e-16,1.8702766360680793e-15,-0.9635309666775522,True,-3.4312091714304076,ed
34,5,5,1.0,3.4000000000000004,-88.16635196385043,-3.832260905261344e-16,-3.6772359144806535e-16,-0.9661585532862871,True,-3.5266540785540172,ed
35,5,5,1.0,3.5,-90.56087934621635,-9.524628701800119e-17,6.252345178378636e-16,-0.9684852581868139,True,-3.622435173848654,ed
36,5,5,1.0,3.6,-92.96282561204023,-1.2686308344202749e-17,1.066744890789802e-15,-0.9705596152560793,True,-3.7185130244816094,ed
37,5,5,1.0,3.7,-95.37136626584005,-3.2389193389203576e-16,1.0975410709395082e-16,-0.972419958619287,True,-3.814854650633602,ed
38,5,5,1.0,3.8000000000000003,-97.78580425406876,1.0742187225503909e-16,9.360998832464052e-18,-0.9740970497027015,True,-3.9114321701627506,ed
39,5,5,1.0,3.9000000000000004,-100.20554467396525,-8.120907762502257e-17,-1.0981166550393541e-16,-0.9756159147347495,True,-4.00822178695861,ed
40,5,5,1.0,4.0,-102.63007556170537,5.69281181558338e-16,3.1513894381017e-17,-0.9769971593239756,True,-4.105203022468214,ed
41,5,5,1.0,4.1000000000000005,-105.05895306627235,2.3793359247727513e-16,9.395373687484974e-17,-0.9782579283753228,True,-4.202358122650894,ed
42,5,5,1.0,4.2,-107.49178984433439,1.6922900285008362e-15,-8.914006149748633e-16,-0.9794126200776329,True,-4.299671593773375,ed
43,5,5,1.0,4.3,-109.92824585975006,-7.756717188107482e-16,-3.1057939679323286e-16,-0.9804734258429312,True,-4.397129834390003,ed
44,5,5,1.0,4.4,-112.36802100518943,-8.608750155490978e-16,-7.30515710542232e-16,-0.9814507447459754,True,-4.494720840207577,ed
45,5,5,1.0,4.5,-114.81084912333922,5.089645001259103e-16,2.8562165376076385e-16,-0.9823535059162336,True,-4.592433964933569,ed
46,5,5,1.0,4.6000000000000005,-117.25649311651254,1.9941715504040154e-17,3.5353717118317164e-17,-0.9831894223636435,True,-4.690259724660502,ed
47,5,5,1.0,4.7,-119.70474091225586,3.5798787985236164e-16,6.669729778307222e-16,-0.9839651930044794,True,-4.788189636490234,ed
48,5,5,1.0,4.800000000000001,-122.1554021091389,-1.1982113878322575e-15,-2.3933765631901228e-17,-0.9846866650490447,True,-4.886216084365556,ed
