,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,5,5,-1.0,0.0,-39.99999999600001,2,-0.9999999999000001,-0.039999999996,1.1685736425799859e-16,-1.5999999998400003,mbr
1,5,5,-1.0,0.1,-40.04125267931422,2,-9.393168621060337e-07,-3.747848599096833e-08,-0.0330033478136788,-1.6016501071725688,mbr
2,5,5,-1.0,0.2,-40.16498811191585,2,1.8078497325892833e-09,7.159415970249254e-11,-0.06596226260507425,-1.6065995244766338,mbr
3,5,5,-1.0,0.30000000000000004,-40.370768717669556,2,7.214804129585745e-10,2.8224514234239292e-11,-0.09855309784137392,-1.6148307487067823,mbr
4,5,5,-1.0,0.4,-40.65686865984993,2,-1.1566780657261353e-09,-4.452181935497267e-11,-0.13007391073879312,-1.626274746393997,mbr
5,5,5,-1.0,0.5,-41.019473901576674,2,5.991367904121721e-11,2.263278714760963e-12,-0.15960066413695573,-1.640778956063067,mbr
6,5,5,-1.0,0.6000000000000001,-41.452502569328225,2,-7.743538665036392e-11,-2.8685450137323617e-12,-0.18629633603927662,-1.658100102773129,mbr
7,5,5,-1.0,0.7000000000000001,-41.948170764197556,2,-8.897319322790083e-11,-3.2357621402736856e-12,-0.20966449977590296,-1.6779268305679023,mbr
8,5,5,-1.0,0.8,-42.49796956431064,2,-1.805774191655561e-12,-6.452233270547029e-14,-0.2296168596769688,-1.6999187825724256,mbr
9,5,5,-1.0,0.9,-43.09359569699608,2,2.21207752914329e-11,7.815937296240961e-13,-0.2463837323077314,-1.7237438278798434,mbr
10,5,5,-1.0,1.0,-43.72757132281302,2,-8.509753514632324e-12,-2.9778417604735187e-13,-0.26037210666016,-1.7491028529125208,mbr
11,5,5,-1.0,1.1,-44.39353037901153,2,-7.111620432531742e-12,-2.4728533777147315e-13,-0.27204908131092354,-1.7757412151604612,mbr
12,5,5,-1.0,1.2000000000000002,-45.08627585047021,2,-4.0230664612078665e-12,-1.392793817245204e-13,-0.28187603811446027,-1.8034510340188084,mbr
13,5,5,-1.0,1.3,-45.80173350417406,2,1.2631357739984307e-12,4.3596618231283625e-14,-0.29029037288757165,-1.8320693401669623,mbr
14,5,5,-1.0,1.4000000000000001,-46.53691543937054,2,1.5032308324292535e-12,5.196024312454416e-14,-0.2977329401226076,-1.8614766175748216,mbr
15,5,5,-1.0,1.5,-47.290039725456076,2,4.3393118362484026e-13,1.493835983995333e-14,-0.3047592526881449,-1.891601589018243,mbr
16,5,5,-1.0,1.6,-48.06123607262384,2,7.525786705076143e-13,2.608780261642684e-14,-0.3124856661751574,-1.9224494429049537,mbr
17,5,5,-1.0,1.7000000000000002,-48.856445359081405,2,7.954671843493093e-14,2.7313483083162454e-15,-0.32564621039149,-1.9542578143632563,mbr
18,5,5,-1.0,1.8,-49.73885303270153,2,2.8103316722872925e-14,9.282485288395374e-16,-0.4246964025415994,-1.9895541213080612,mbr
19,5,5,-1.0,1.9000000000000001,-51.54942364909545,2,-9.690255822697953e-16,-5.651170455940189e-17,-0.9128683527932503,-2.061976945963818,mbr
20,5,5,-1.0,2.0,-53.88552682576163,2,-1.3028294636571895e-16,-3.640759427087974e-18,-0.9447690363030788,-2.1554210730304653,mbr
21,5,5,-1.0,2.1,-56.256800263564045,2,3.389558304673862e-16,3.480436474317818e-18,-0.9513023129242062,-2.2502720105425618,mbr
22,5,5,-1.0,2.2,-58.63976568866856,2,-3.9500309905002386e-16,-7.058546474262898e-18,-0.9548465635991207,-2.3455906275467426,mbr
23,5,5,-1.0,2.3000000000000003,-61.03034342071713,2,2.6345424844319576e-17,1.3530566439735e-18,-0.9575274004136796,-2.441213736828685,mbr
24,5,5,-1.0,2.4000000000000004,-63.42708174933167,2,-1.8089299068939173e-16,-8.246208254943404e-18,-0.9598149303683412,-2.537083269973267,mbr
25,5,5,-1.0,2.5,-65.82922163862592,2,6.982203636941076e-17,-1.5284272234606983e-17,-0.961864216539236,-2.633168865545037,mbr
26,5,5,-1.0,2.6,-68.23626000588715,2,-3.1223865063479875e-16,1.5851996712141965e-18,-0.9637411592608853,-2.729450400235486,mbr
27,5,5,-1.0,2.7,-70.6478123661392,2,-9.476404683714922e-16,-3.0789035921876247e-18,-0.965479603177301,-2.8259124946455683,mbr
28,5,5,-1.0,2.8000000000000003,-73.06355964971445,2,-5.505324322926146e-16,-2.0373046233607226e-17,-0.967099796142399,-2.922542385988578,mbr
29,5,5,-1.0,2.9000000000000004,-75.48322431767464,2,4.84364516687544e-16,5.47518180346723e-18,-0.9686154431816029,-3.0193289727069854,mbr
