,nx,ny,J,h,energy,mx,mx_s,mz,max_chi,rel_energy_delta,rel_entropy_delta,mixer,energy_per_site,type
0,7,7,1.0,0.0,-83.99999999999986,-0.020408163265306128,-1.0,3.253646074769253e-16,500,1e-08,1e-05,True,-1.7142857142857113,mps
1,7,7,1.0,0.1,-84.07458967588923,-0.020345193112829195,-0.9995113836044737,-0.03044735386172609,500,1e-08,1e-05,True,-1.7158079525691678,mps
2,7,7,1.0,0.2,-84.29843474307314,-0.02015743872065204,-0.9980409742379274,-0.06092572612536101,500,1e-08,1e-05,True,-1.7203762192463907,mps
3,7,7,1.0,0.30000000000000004,-84.67176278759082,0.019848332361337536,0.9955750384784133,-0.09146591806661321,500,1e-08,1e-05,True,-1.727995158930425,mps
4,7,7,1.0,0.4,-85.19495135083346,-0.019423476395902254,-0.9920905073081442,-0.12209829921435744,500,1e-08,1e-05,True,-1.7386724765476218,mps
5,7,7,1.0,0.5,-85.86852529607107,-0.01889047166803427,-0.9875546932665156,-0.15285259663179135,500,1e-08,1e-05,True,-1.7524188835932872,mps
6,7,7,1.0,0.6000000000000001,-86.69315315148098,-0.01825868751299477,-0.9819248689280741,-0.18375768762636882,500,1e-08,1e-05,True,-1.769248023499612,mps
7,7,7,1.0,0.7000000000000001,-87.66964244114907,-0.01753898197253531,-0.9751476811402451,-0.2148413934148498,500,1e-08,1e-05,True,-1.7891763763499808,mps
8,7,7,1.0,0.8,-88.79893399969421,-0.016743381420586283,-0.9671583668017446,-0.2461302699174748,500,1e-08,1e-05,True,-1.8122231428509024,mps
9,7,7,1.0,0.9,-90.08209524677092,-0.015884728859454588,-0.9578797241305715,-0.2776493919042827,500,1e-08,1e-05,True,-1.8384101070769576,mps
10,7,7,1.0,1.0,-91.52031238330817,-0.01497631020663323,-0.9472207754306222,-0.30942212872020114,500,1e-08,1e-05,True,-1.8677614772103708,mps
11,7,7,1.0,1.1,-93.11488147196746,-0.014031468636258745,-0.9350750291025635,-0.3414699140137686,500,1e-08,1e-05,True,-1.90030370350954,mps
12,7,7,1.0,1.2000000000000002,-94.86719839097462,0.013063219032979016,0.9213182039440119,-0.373812018270558,500,1e-08,1e-05,True,-1.9360652732851964,mps
13,7,7,1.0,1.3,-96.77874771369069,0.012083878003691114,0.905805208073836,-0.40646534156301817,500,1e-08,1e-05,True,-1.9750764839528712,mps
14,7,7,1.0,1.4000000000000001,-98.85109067873798,-0.0111047290600572,-0.8883660514116799,-0.4394442557034319,500,1e-08,1e-05,True,-2.017369197525265,mps
15,7,7,1.0,1.5,-101.08585259952528,0.010135745909406574,0.8688001823919922,-0.4727605433360938,500,1e-08,1e-05,True,-2.0629765836637812,mps
16,7,7,1.0,1.6,-103.48471036903364,-0.009185396635117457,-0.8468684095568888,-0.5064235156857538,500,1e-08,1e-05,True,-2.1119328646741558,mps
17,7,7,1.0,1.7000000000000002,-106.049381879553,0.00034983745644893033,0.034823927806671574,-0.5404407566880877,500,1e-08,1e-05,True,-2.164273099582714,mps
18,7,7,1.0,1.8,-108.78162120813528,-1.678604838483709e-05,-0.0018108445505088814,-0.5748202980739334,500,1e-08,1e-05,True,-2.2200330858803117,mps
19,7,7,1.0,1.9000000000000001,-111.68324119302964,8.996729136733456e-05,0.010558304250449414,-0.6095810452507565,500,1e-08,1e-05,True,-2.2792498202659113,mps
20,7,7,1.0,2.0,-114.75624332279669,-9.455311958429106e-06,-0.001211653860550593,-0.6447926458527522,500,1e-08,1e-05,True,-2.3419641494448307,mps
21,7,7,1.0,2.1,-118.0033250799516,2.8452453349473007e-07,3.995669362841754e-05,-0.6807021795302594,500,1e-08,1e-05,True,-2.4082311240806447,mps
22,7,7,1.0,2.2,-121.42935488228008,6.905812016691193e-09,1.0746892666244988e-06,-0.7180005128843604,500,1e-08,1e-05,True,-2.478150099638369,mps
23,7,7,1.0,2.3000000000000003,-125.0439974517942,-1.3112401796213255e-09,-2.2927767051873432e-07,-0.7578859546155372,500,1e-08,1e-05,True,-2.5519183153427387,mps
24,7,7,1.0,2.4000000000000004,-128.86105824158764,3.45509404570649e-11,6.973448176576591e-09,-0.8002815542595499,500,1e-08,1e-05,True,-2.629817515134442,mps
25,7,7,1.0,2.5,-132.88295185604562,-1.5056085417903785e-13,2.849263611320682e-11,-0.8402704959665513,500,1e-08,1e-05,True,-2.711896976653992,mps
26,7,7,1.0,2.6,-137.0811320245484,-8.747241611706304e-14,6.829635122576683e-12,-0.871591489219001,500,1e-08,1e-05,True,-2.797574122949967,mps
27,7,7,1.0,2.7,-141.40925535185468,7.286825105675354e-15,-3.0462910578483395e-12,-0.8936530708882788,500,1e-08,1e-05,True,-2.885903170446014,mps
28,7,7,1.0,2.8000000000000003,-145.82832538545426,1.222165544774747e-13,2.0681598820586e-13,-0.9091956621992107,500,1e-08,1e-05,True,-2.976088273172536,mps
29,7,7,1.0,2.9000000000000004,-150.31273751233385,5.934647913955201e-14,-4.987312423429681e-15,-0.9206423103048296,500,1e-08,1e-05,True,-3.0676068880068135,mps
30,7,7,1.0,3.0,-154.846387187982,5.47456538825485e-14,7.345187740443088e-13,-0.9294770936906404,500,1e-08,1e-05,True,-3.160130350775143,mps
31,7,7,1.0,3.1,-159.41876669063154,-8.757300913794036e-16,-2.0079283714558142e-13,-0.9365581966074419,500,1e-08,1e-05,True,-3.253444218176154,mps
32,7,7,1.0,3.2,-164.02263918957973,-4.422894224303006e-14,3.3658596092297186e-14,-0.9423975426086656,500,1e-08,1e-05,True,-3.3474007997873416,mps
33,7,7,1.0,3.3000000000000003,-168.6527660579017,-1.622721902990199e-15,-1.4694912271255214e-13,-0.9473171601145688,500,1e-08,1e-05,True,-3.4418931848551364,mps
34,7,7,1.0,3.4000000000000004,-173.30519745702824,-2.758404252139677e-14,1.0719135470814325e-14,-0.9515306542713834,500,1e-08,1e-05,True,-3.5368407644291477,mps
35,7,7,1.0,3.5,-177.97685773271272,2.805391845952672e-14,4.0044408574715955e-14,-0.9551864420890842,500,1e-08,1e-05,True,-3.6321807700553617,mps
36,7,7,1.0,3.6,-182.66529021320014,1.1288726082568495e-14,-1.4682226851974584e-14,-0.9583917234926242,500,1e-08,1e-05,True,-3.727863065575513,mps
37,7,7,1.0,3.7,-187.36849236672236,1.5048330109546155e-14,3.490059048182445e-14,-0.9612264390860369,500,1e-08,1e-05,True,-3.823846782994334,mps
38,7,7,1.0,3.8000000000000003,-192.08480473142012,2.748602127778413e-14,-1.8211593604715324e-14,-0.9637517882851161,500,1e-08,1e-05,True,-3.9200980557432676,mps
