,nx,ny,J,h,energy,mx,mx_s,mz,use_sparse,energy_per_site,type
0,4,4,1.0,0.0,-24.00000000000001,6.938893903907228e-18,0.0,2.0766824966441914e-17,True,-1.5000000000000007,ed
1,4,4,1.0,0.1,-24.028336173194553,3.469446951953614e-17,0.0,-0.04166792563165525,True,-1.5017710108246596,ed
2,4,4,1.0,0.2,-24.113378696275554,-4.163336342344337e-17,0.0,-0.08334306750214915,True,-1.507086168517222,ed
3,4,4,1.0,0.30000000000000004,-24.255229030210156,-5.204170427930421e-17,0.0,-0.12503098495401693,True,-1.5159518143881348,ed
4,4,4,1.0,0.4,-24.45405451495704,9.106281809341532e-17,0.0,-0.16673405842514977,True,-1.528378407184815,ed
5,4,4,1.0,0.5,-24.710085956696517,-1.5409779241821867e-17,0.0,-0.20845019947081506,True,-1.5443803722935323,ed
6,4,4,1.0,0.6000000000000001,-25.023614664807184,1.2167891661615061e-16,0.0,-0.25017183500095186,True,-1.563975916550449,ed
7,4,4,1.0,0.7000000000000001,-25.39498931757944,-1.321468161304765e-16,0.0,-0.2918852077897339,True,-1.587186832348715,ed
8,4,4,1.0,0.8,-25.824613369970486,2.5937643776782236e-16,0.0,-0.33357027422913443,True,-1.6140383356231554,ed
9,4,4,1.0,0.9,-26.312944955240436,-4.616911939046205e-17,0.0,-0.375202274606875,True,-1.6445590597025272,ed
10,4,4,1.0,1.0,-26.86050463952782,-2.614390310752284e-18,0.0,-0.4167576507286016,True,-1.6787815399704888,ed
11,4,4,1.0,1.1,-27.467903410996193,1.3260544982030185e-17,0.0,-0.4582289810641308,True,-1.716743963187262,ed
12,4,4,1.0,1.2000000000000002,-28.135913808031603,1.6259866538402475e-16,0.0,-0.49965401848946817,True,-1.7584946130019752,ed
13,4,4,1.0,1.3,-28.8656158472067,-4.59737837290801e-16,0.0,-0.5411584385339263,True,-1.8041009904504188,ed
14,4,4,1.0,1.4000000000000001,-29.658640564115725,-2.583374117232176e-16,0.0,-0.5829938307767715,True,-1.8536650352572328,ed
15,4,4,1.0,1.5,-30.517474873065837,9.788369063578565e-17,0.0,-0.6255149231428637,True,-1.9073421795666148,ed
16,4,4,1.0,1.6,-31.445635268032035,-2.69339685357297e-16,0.0,-0.6689905427833278,True,-1.9653522042520022,ed
17,4,4,1.0,1.7000000000000002,-32.44726559375705,4.934859017365416e-16,0.0,-0.7131561394312955,True,-2.0279540996098158,ed
18,4,4,1.0,1.8,-33.525626969180934,7.114914618152105e-16,0.0,-0.7566790131997196,True,-2.0953516855738084,ed
19,4,4,1.0,1.9000000000000001,-34.68066033180953,1.0960088404142384e-16,0.0,-0.7971907114216276,True,-2.1675412707380954,ed
20,4,4,1.0,2.0,-35.907257620408906,-6.485281538515021e-16,0.0,-0.8323428302711865,True,-2.2442036012755566,ed
21,4,4,1.0,2.1,-37.195974808920454,-1.058547447364812e-15,0.0,-0.8610261573999735,True,-2.3247484255575284,ed
22,4,4,1.0,2.2,-38.53563525493296,-6.458773487401255e-16,0.0,-0.8835575525975335,True,-2.40847720343331,ed
23,4,4,1.0,2.3000000000000003,-39.915748205559446,4.7745119069720915e-18,0.0,-0.9010195139635829,True,-2.4947342628474654,ed
24,4,4,1.0,2.4000000000000004,-41.3276547404843,2.8093508771640534e-16,0.0,-0.9146075855726635,True,-2.5829784212802687,ed
25,4,4,1.0,2.5,-42.76465479285491,-9.16701629420774e-17,0.0,-0.9253250562820351,True,-2.672790924553432,ed
26,4,4,1.0,2.6,-44.221694645339575,9.73361487820451e-16,0.0,-0.933924699164691,True,-2.7638559153337234,ed
27,4,4,1.0,2.7,-45.69497519423437,-8.914963391938102e-16,0.0,-0.9409468728188999,True,-2.855935949639648,ed
28,4,4,1.0,2.8000000000000003,-47.181617081816654,-3.8068948421727226e-16,0.0,-0.946775168951979,True,-2.948851067613541,ed
29,4,4,1.0,2.9000000000000004,-48.679408439823,4.414611091282911e-16,0.0,-0.9516834008775577,True,-3.0424630274889375,ed
30,4,4,1.0,3.0,-50.18662388277774,1.4388256181884454e-15,0.0,-0.9558696883873232,True,-3.1366639926736086,ed
31,4,4,1.0,3.1,-51.701896586731245,1.5306032993488324e-16,0.0,-0.9594798350792548,True,-3.231368536670703,ed
32,4,4,1.0,3.2,-53.224127801938145,1.5095631808317642e-17,0.0,-0.9626230790114646,True,-3.326507987621134,ed
33,4,4,1.0,3.3000000000000003,-54.75242227201821,-1.7926513444459776e-17,0.0,-0.9653827072023813,True,-3.422026392001138,ed
34,4,4,1.0,3.4000000000000004,-56.2860415517534,-2.0000620347153773e-16,0.0,-0.9678232751098149,True,-3.5178775969845875,ed
35,4,4,1.0,3.5,-57.82436977640363,1.0050519231829195e-15,0.0,-0.9699955845514359,True,-3.6140231110252268,ed
36,4,4,1.0,3.6,-59.366888190625204,-4.980826529341065e-16,0.0,-0.9719401701921973,True,-3.7104305119140752,ed
37,4,4,1.0,3.7,-60.91315592163981,-5.5305747808383854e-17,0.0,-0.9736897814834196,True,-3.8070722451024883,ed
38,4,4,1.0,3.8000000000000003,-62.46279526604867,-1.3075326644822231e-16,0.0,-0.9752711781588996,True,-3.903924704128042,ed
39,4,4,1.0,3.9000000000000004,-64.01548028514064,-2.1236885582687547e-16,0.0,-0.9767064494284613,True,-4.00096751782129,ed
40,4,4,1.0,4.0,-65.57092785839346,-3.805256386800075e-17,0.0,-0.9780139975491374,True,-4.098182991149591,ed
41,4,4,1.0,4.1000000000000005,-67.12889058718235,1.3627340647052542e-16,0.0,-0.9792092813148202,True,-4.195555661698897,ed
42,4,4,1.0,4.2,-68.68915110819341,-2.507808857372389e-16,0.0,-0.9803053853061375,True,-4.293071944262088,ed
43,4,4,1.0,4.3,-70.25151749329899,2.0362949922432186e-16,0.0,-0.9813134609374403,True,-4.390719843331187,ed
44,4,4,1.0,4.4,-71.81581949578705,4.21013483709976e-16,0.0,-0.9822430719458728,True,-4.488488718486691,ed
45,4,4,1.0,4.5,-73.38190546250519,2.547711969384182e-16,0.0,-0.9831024677858395,True,-4.586369091406574,ed
46,4,4,1.0,4.6000000000000005,-74.94963977485415,1.604077033582977e-16,0.0,-0.9838988020108559,True,-4.684352485928384,ed
47,4,4,1.0,4.7,-76.51890071341262,-9.85885566661296e-16,0.0,-0.9846383082310186,True,-4.782431294588289,ed
48,4,4,1.0,4.800000000000001,-78.08957866466395,5.399230680557772e-17,0.0,-0.985326443029812,True,-4.880598666541497,ed
49,4,4,1.0,4.9,-79.6615746060592,3.18311480397817e-17,0.0,-0.9859680029107794,True,-4.9788484128787,ed
50,4,4,1.0,5.0,-81.23479881913502,-2.272747689446432e-16,0.0,-0.986567220656209,True,-5.077174926195939,ed
