,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,4,4,1.0,0.0,-23.999999997599996,4,-2.356270034787345e-35,0.9999999999,-1.5245084955272986e-19,-1.4999999998499998,mbr
1,4,4,1.0,0.1,-24.028336170791516,4,-9.042371531393633e-18,-0.02935171787537853,-0.035423764352179636,-1.5017710106744697,mbr
2,4,4,1.0,0.2,-24.113378693685014,4,-2.4477155699614405e-17,8.141475280117179e-05,-0.07088997453299026,-1.5070861683553134,mbr
3,4,4,1.0,0.30000000000000004,-24.255229018582327,4,5.5424374710753614e-17,3.574298332722453e-07,-0.10644038066457102,-1.5159518136613954,mbr
4,4,4,1.0,0.4,-24.454054369082517,4,4.6038015251470175e-17,2.177024803978321e-08,-0.14211531871009397,-1.5283783980676573,mbr
5,4,4,1.0,0.5,-24.710084798604576,4,9.567635685243127e-17,7.565454713930295e-09,-0.1779528152944578,-1.544380299912786,mbr
6,4,4,1.0,0.6000000000000001,-25.02360856229385,4,-7.272072064630699e-17,9.26144950375193e-10,-0.21398736769839558,-1.5639755351433657,mbr
7,4,4,1.0,0.7000000000000001,-25.394965380848994,4,-2.3593310286898583e-17,7.799166374507639e-10,-0.2502486183740355,-1.5871853363030621,mbr
8,4,4,1.0,0.8,-25.824538102749607,4,-2.1211941060990855e-17,-6.405821788458469e-12,-0.2867609352594003,-1.6140336314218504,mbr
9,4,4,1.0,0.9,-26.31274580587662,4,-1.0057667775301482e-16,-2.552706559946504e-11,-0.3235461264355891,-1.6445466128672888,mbr
10,4,4,1.0,1.0,-26.860046199091272,4,5.22708348933785e-17,-1.6707777624116815e-11,-0.36063314417291814,-1.6787528874432045,mbr
11,4,4,1.0,1.1,-27.466962761663403,4,-4.9681311063616165e-17,2.027150204357586e-11,-0.3980803393107841,-1.7166851726039627,mbr
12,4,4,1.0,1.2000000000000002,-28.134161605907448,4,-4.386409598583338e-17,3.608930282752566e-15,-0.4360162030931246,-1.7583851003692155,mbr
13,4,4,1.0,1.3,-28.86260991355288,4,2.658140963821914e-16,-1.3438760014464986e-12,-0.47469993618524714,-1.803913119597055,mbr
14,4,4,1.0,1.4000000000000001,-29.653838696034704,4,7.949407877778278e-17,-1.5878060498333554e-13,-0.5145861695274765,-1.853364918502169,mbr
15,4,4,1.0,1.5,-30.5102783631198,4,-1.3697050821057222e-17,-2.6026310383101175e-13,-0.5563363829902922,-1.9068923976949874,mbr
16,4,4,1.0,1.6,-31.435488180033683,4,-2.559877239841544e-16,2.716418700419462e-13,-0.6006462149020193,-1.9647180112521052,mbr
17,4,4,1.0,1.7000000000000002,-32.43384187543335,4,-2.123899898799777e-16,1.5739354580194094e-13,-0.647714823784428,-2.0271151172145845,mbr
18,4,4,1.0,1.8,-33.50908164101745,4,1.3563300513371446e-17,9.087986741019072e-14,-0.6964192968091764,-2.094317602563591,mbr
19,4,4,1.0,1.9000000000000001,-34.661773973852114,4,-5.5153686554076853e-17,-5.851956486946119e-14,-0.7439555612237986,-2.166360873365757,mbr
20,4,4,1.0,2.0,-35.88726178237206,4,-5.511696743192122e-17,-3.304802623173689e-14,-0.7868911224106199,-2.2429538613982536,mbr
21,4,4,1.0,2.1,-37.176129815120845,4,-5.271549794283506e-19,1.1238885708536316e-14,-0.8229670708407326,-2.323508113445053,mbr
22,4,4,1.0,2.2,-38.51688673369026,4,-5.149218907599651e-19,2.5997958335757547e-15,-0.8518307307341326,-2.407305420855641,mbr
23,4,4,1.0,2.3000000000000003,-39.89863321242188,4,9.055570284583993e-17,4.264828232289032e-15,-0.8744151277596335,-2.4936645757763674,mbr
24,4,4,1.0,2.4000000000000004,-41.312378173401875,4,4.9619447511991956e-17,2.7395360735730515e-15,-0.8920500697855588,-2.582023635837617,mbr
25,4,4,1.0,2.5,-42.75120893898608,4,2.5112170428224835e-17,-8.665560583331836e-15,-0.9059546894375206,-2.67195055868663,mbr
26,4,4,1.0,2.6,-44.20995758601364,4,1.0995647463906485e-17,5.207333955715349e-15,-0.9170839915737011,-2.7631223491258523,mbr
27,4,4,1.0,2.7,-45.68477525761522,4,4.050608260201288e-18,8.824909043529945e-15,-0.9261396402340152,-2.8552984536009514,mbr
28,4,4,1.0,2.8000000000000003,-47.17277001818975,4,4.130356034263003e-17,-5.391200054005852e-15,-0.9336260779138114,-2.9482981261368595,mbr
29,4,4,1.0,2.9000000000000004,-48.67173680055607,4,7.071696164058978e-17,1.017552840586669e-15,-0.9399056731566392,-3.0419835500347543,mbr
30,4,4,1.0,3.0,-50.17996590800243,4,6.742202871235462e-17,4.890520792697522e-15,-0.9452412457758125,-3.136247869250152,mbr
31,4,4,1.0,3.1,-51.69610930315984,4,6.128162536012156e-17,2.42680052004584e-16,-0.9498261867299878,-3.23100683144749,mbr
32,4,4,1.0,3.2,-53.21908711686471,4,2.7294272236783814e-17,-1.1151485931342904e-16,-0.9538051358527964,-3.3261929448040446,mbr
33,4,4,1.0,3.3000000000000003,-54.74802163733208,4,3.3960109567552516e-17,1.6521064722431116e-15,-0.9572880742334232,-3.421751352333255,mbr
34,4,4,1.0,3.4000000000000004,-56.2821900545903,4,1.0299098331100934e-17,6.49347567044113e-16,-0.9603599719556807,-3.517636878411894,mbr
35,4,4,1.0,3.5,-57.82099010392484,4,3.288682509982526e-17,-3.200659105122852e-15,-0.9630874628401276,-3.6138118814953026,mbr
36,4,4,1.0,3.6,-59.36391468865305,4,8.149774454904784e-17,-3.858731075450636e-15,-0.9655235249726416,-3.7102446680408154,mbr
37,4,4,1.0,3.7,-60.910532842991266,4,5.207614332075091e-17,1.889633694514129e-15,-0.9677108115591285,-3.806908302686954,mbr
38,4,4,1.0,3.8000000000000003,-62.460475238946835,4,1.655790489676367e-17,1.225685614982076e-15,-0.9696840572050279,-3.903779702434177,mbr
39,4,4,1.0,3.9000000000000004,-64.01342299908399,4,3.1097984335289875e-18,-1.8806323038862388e-15,-0.9714718421407111,-4.000838937442749,mbr
40,4,4,1.0,4.0,-65.56909894962368,4,7.456015981428053e-17,-2.439390292924504e-15,-0.9730979042147723,-4.09806868435148,mbr
41,4,4,1.0,4.1000000000000005,-67.12726070010936,4,2.5935189329391877e-17,-8.334827060606834e-16,-0.9745821278073744,-4.195453793756835,mbr
42,4,4,1.0,4.2,-68.68769510829516,4,2.4814535476257173e-17,-1.348763925640352e-15,-0.9759412987148537,-4.2929809442684475,mbr
43,4,4,1.0,4.3,-70.25021380848408,4,4.527058654063217e-17,1.0194118934695767e-15,-0.9771896872405913,-4.390638363030255,mbr
44,4,4,1.0,4.4,-71.81464956571102,4,6.74430982626987e-17,3.781400541549705e-16,-0.978339503570133,-4.488415597856939,mbr
45,4,4,1.0,4.5,-73.3808532780903,4,6.939822221997964e-17,-5.12778762575061e-16,-0.9794012570556881,-4.586303329880644,mbr
46,4,4,1.0,4.6000000000000005,-74.94869149290946,4,1.0323257581569449e-16,1.811657803076955e-15,-0.9803840423850455,-4.684293218306841,mbr
