,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,4,4,-1.0,0.0,-23.999999997599996,1,0.9999999998999999,-5.062708843780601e-42,-1.9039971783192376e-23,-1.4999999998499998,mbr
1,4,4,-1.0,0.1,-24.02818597825719,1,-3.972131027283328e-09,-9.884553676935428e-19,-0.03505037525610329,-1.5017616236410745,mbr
2,4,4,-1.0,0.2,-24.111051631558652,1,-1.2872155302613469e-09,-1.2956399969206767e-17,-0.06804154361823046,-1.5069407269724158,mbr
3,4,4,-1.0,0.30000000000000004,-24.24402031083909,1,9.683762430975856e-11,-7.908380546281481e-18,-0.09750189802972131,-1.5152512694274431,mbr
4,4,4,-1.0,0.4,-24.420816688636798,1,1.4896198888829386e-12,-4.335840055330527e-18,-0.12278415583922131,-1.5263010430397999,mbr
5,4,4,-1.0,0.5,-24.634720600102206,1,-1.65496349601256e-12,5.14896440518205e-18,-0.14393816256459618,-1.5396700375063879,mbr
6,4,4,-1.0,0.6000000000000001,-24.87946270352648,1,4.180694534367891e-12,2.3927432453944853e-17,-0.16142961566493993,-1.554966418970405,mbr
7,4,4,-1.0,0.7000000000000001,-25.14967962540562,1,-1.126813895678298e-12,-4.582953448068459e-17,-0.17589183343780862,-1.5718549765878513,mbr
8,4,4,-1.0,0.8,-25.44104994362849,1,-2.5384153764091617e-12,2.0464005641721685e-17,-0.18797758802215828,-1.5900656214767805,mbr
9,4,4,-1.0,0.9,-25.750268474415176,1,-9.269279197877974e-13,-5.807135351566085e-18,-0.19830052533888676,-1.6093917796509485,mbr
10,4,4,-1.0,1.0,-26.074979169077636,1,3.295961097231909e-13,8.055291119968544e-17,-0.20743779138605423,-1.6296861980673523,mbr
11,4,4,-1.0,1.1,-26.413749020883994,1,-4.263575146215792e-13,-2.242768167509276e-17,-0.21597771482043054,-1.6508593138052496,mbr
12,4,4,-1.0,1.2000000000000002,-26.766157802450472,1,-1.932668017775789e-14,2.0629727167178165e-17,-0.2246210268860364,-1.6728848626531545,mbr
13,4,4,-1.0,1.3,-27.13312246402886,1,1.8252429473184293e-13,-1.357457999606233e-17,-0.2343871446599025,-1.6958201540018039,mbr
14,4,4,-1.0,1.4000000000000001,-27.517725914405432,1,1.8021658891038464e-19,2.3310574321415866e-17,-0.24707887529091152,-1.7198578696503395,mbr
15,4,4,-1.0,1.5,-27.9272546118242,1,-1.795510695655462e-14,-2.429083062789171e-17,-0.2664453558328453,-1.7454534132390125,mbr
16,4,4,-1.0,1.6,-28.378381159776648,1,9.495883536970353e-14,1.512196433348379e-17,-0.30125291479363553,-1.7736488224860405,mbr
17,4,4,-1.0,1.7000000000000002,-28.910112333731167,1,3.293359807381124e-14,6.5941390559391164e-18,-0.37199134333250566,-1.806882020858198,mbr
18,4,4,-1.0,1.8,-29.603977135128076,1,1.598208327798452e-14,-1.05909421498352e-17,-0.5065543684924216,-1.8502485709455048,mbr
19,4,4,-1.0,1.9000000000000001,-30.546315298535788,1,-9.987123643380247e-14,3.0630683847104453e-18,-0.6666122990736416,-1.9091447061584867,mbr
20,4,4,-1.0,2.0,-32.04964922229991,1,-8.483268608411246e-15,4.1687173606101543e-17,-0.9858938271896162,-2.0031030763937445,mbr
21,4,4,-1.0,2.1,-33.634333730017474,1,-5.286482847236828e-15,5.624514872476969e-17,-0.9935013899006702,-2.102145858126092,mbr
22,4,4,-1.0,2.2,-35.2264511011944,1,-3.362564550677349e-16,5.5028015569120166e-17,-0.9962608052473576,-2.20165319382465,mbr
23,4,4,-1.0,2.3000000000000003,-36.821621994861275,1,-1.2536328614377236e-15,4.2970967124827124e-17,-0.9975614431739906,-2.3013513746788297,mbr
24,4,4,-1.0,2.4000000000000004,-38.41834425261054,1,-2.201842815729935e-15,4.1271450570472246e-17,-0.998277753916777,-2.4011465157881586,mbr
25,4,4,-1.0,2.5,-40.01596469164472,1,-2.439346682877511e-15,4.4409150336781135e-17,-0.9987150142490703,-2.500997793227795,mbr
26,4,4,-1.0,2.6,-41.614153293686606,1,-1.3912839307628682e-15,2.2025948789139354e-18,-0.9990021363689569,-2.600884580855413,mbr
27,4,4,-1.0,2.7,-43.212725042953,1,-1.3191224999229453e-16,-2.9512589691424965e-17,-0.9992012018086994,-2.7007953151845623,mbr
28,4,4,-1.0,2.8000000000000003,-44.81156797181643,1,1.5240535982550844e-15,-5.807559482120661e-17,-0.9993451357517781,-2.800722998238527,mbr
29,4,4,-1.0,2.9000000000000004,-46.410610227130604,1,1.1188563380277965e-15,-4.823944934536876e-17,-0.9994527404344453,-2.9006631391956628,mbr
30,4,4,-1.0,3.0,-48.009803508166236,1,-9.261857896726556e-16,-4.912846043574446e-18,-0.9995354002643413,-3.0006127192603897,mbr
31,4,4,-1.0,3.1,-49.6091141013069,1,-7.56517058258888e-16,2.7828189049541024e-17,-0.9996003435546381,-3.1005696313316813,mbr
32,4,4,-1.0,3.2,-51.20851773072692,1,1.8927188703772032e-15,1.2550615140472753e-17,-0.9996523437797294,-3.2005323581704324,mbr
33,4,4,-1.0,3.3000000000000003,-52.80799645302636,1,1.7891311755816125e-16,5.720636874482097e-17,-0.9996946592550037,-3.3004997783141476,mbr
34,4,4,-1.0,3.4000000000000004,-54.40753670641057,1,3.442554509218101e-16,-6.179732939109575e-17,-0.9997295776751326,-3.4004710441506605,mbr
35,4,4,-1.0,3.5,-56.007128041843174,1,3.2980216093128327e-15,-5.422335011848716e-17,-0.9997587448051237,-3.5004455026151984,mbr
36,4,4,-1.0,3.6,-57.606762272718996,1,3.7429591921053003e-16,3.1147442465600244e-17,-0.9997833699702009,-3.6004226420449372,mbr
37,4,4,-1.0,3.7,-59.20643288999949,1,-5.386750867081029e-16,4.9642642454380805e-17,-0.9998043585060493,-3.700402055624968,mbr
38,4,4,-1.0,3.8000000000000003,-60.80613465063995,1,1.0499867468969193e-15,-6.047627827026878e-17,-0.9998223994499844,-3.8003834156649967,mbr
39,4,4,-1.0,3.9000000000000004,-62.405863282056984,1,8.03219963787169e-16,3.300962663956982e-17,-0.9998380249921387,-3.9003664551285615,mbr
40,4,4,-1.0,4.0,-64.00561526606229,1,1.761386488221928e-15,-1.4445112981316953e-17,-0.999851651642136,-4.000350954128893,mbr
41,4,4,-1.0,4.1000000000000005,-65.60538767832952,1,-2.501987864188903e-16,-7.939745580097184e-17,-0.9998636092802989,-4.100336729895595,mbr
42,4,4,-1.0,4.2,-67.20517806736657,1,-1.0853303656470964e-15,2.501122721684426e-17,-0.9998741620125031,-4.200323629210411,mbr
43,4,4,-1.0,4.3,-68.80498436206528,1,-8.80040498290843e-17,1.9032716286098712e-17,-0.9998835233749293,-4.30031152262908,mbr
44,4,4,-1.0,4.4,-70.40480480022667,1,4.854561645189742e-16,-8.309018712539106e-17,-0.9998918675769698,-4.400300300014167,mbr
45,4,4,-1.0,4.5,-72.00463787268833,1,1.5019950253896344e-15,4.0364912906694325e-17,-0.9998993379225394,-4.500289867043021,mbr
46,4,4,-1.0,4.6000000000000005,-73.60448227921847,1,1.6475010655415056e-17,-5.612382878301996e-17,-0.9999060531930241,-4.600280142451155,mbr
47,4,4,-1.0,4.7,-75.20433689335889,1,1.2971057928451147e-15,-2.8083384430303266e-17,-0.9999121125382936,-4.70027105583493,mbr
48,4,4,-1.0,4.800000000000001,-76.80420073417066,1,6.713739951585967e-17,4.2709531068003176e-17,-0.9999175992624308,-4.8002625458856665,mbr
49,4,4,-1.0,4.9,-78.4040729433424,1,-7.454415067810519e-16,-7.962108037293458e-17,-0.9999225837814424,-4.9002545589589,mbr
50,4,4,-1.0,5.0,-80.00395276650785,1,-3.4958538907162196e-16,4.296510070706807e-17,-0.9999271259541765,-5.000247047906741,mbr
