,nx,ny,J,h,energy,mx,mx_s,mz,use_sparse,energy_per_site,type
0,4,4,-1.0,0.0,-23.999999999999986,0.9917578921021074,0.0,9.058777003530862e-17,True,-1.4999999999999991,ed
1,4,4,-1.0,0.1,-24.02833617319454,-0.2326896167883022,0.0,-0.04166792563165379,True,-1.5017710108246587,ed
2,4,4,-1.0,0.2,-24.11337869627553,0.4841831351071171,0.0,-0.08334306750214657,True,-1.5070861685172205,ed
3,4,4,-1.0,0.30000000000000004,-24.255229030210185,-0.02459987818576683,0.0,-0.12503098495401813,True,-1.5159518143881365,ed
4,4,4,-1.0,0.4,-24.454054514957022,0.00019711195124050266,0.0,-0.1667340584251494,True,-1.5283784071848139,ed
5,4,4,-1.0,0.5,-24.71008595669653,9.639801703536821e-06,0.0,-0.20845019947081522,True,-1.5443803722935332,ed
6,4,4,-1.0,0.6000000000000001,-25.02361466480728,4.316491210657844e-06,0.0,-0.25017183500095186,True,-1.563975916550455,ed
7,4,4,-1.0,0.7000000000000001,-25.394989317579455,-4.080480176871422e-08,0.0,-0.29188520778973465,True,-1.587186832348716,ed
8,4,4,-1.0,0.8,-25.824613369970486,-3.149914731262895e-08,0.0,-0.3335702742291339,True,-1.6140383356231554,ed
9,4,4,-1.0,0.9,-26.312944955240468,-5.375750803310355e-09,0.0,-0.3752022746068753,True,-1.6445590597025292,ed
10,4,4,-1.0,1.0,-26.860504639527885,3.2522672931908667e-10,0.0,-0.41675765072860244,True,-1.6787815399704928,ed
11,4,4,-1.0,1.1,-27.467903410996172,3.0616742735439794e-11,0.0,-0.4582289810641304,True,-1.7167439631872607,ed
12,4,4,-1.0,1.2000000000000002,-28.135913808031635,9.48776235108682e-12,0.0,-0.4996540184894686,True,-1.7584946130019772,ed
13,4,4,-1.0,1.3,-28.8656158472067,-4.556624504674813e-12,0.0,-0.5411584385339238,True,-1.8041009904504188,ed
14,4,4,-1.0,1.4000000000000001,-29.658640564115682,-2.350806784197726e-12,0.0,-0.5829938307767708,True,-1.8536650352572301,ed
15,4,4,-1.0,1.5,-30.517474873065783,3.1789608875241035e-12,0.0,-0.6255149231428627,True,-1.9073421795666115,ed
16,4,4,-1.0,1.6,-31.445635268032028,3.065139009321937e-13,0.0,-0.668990542783325,True,-1.9653522042520017,ed
17,4,4,-1.0,1.7000000000000002,-32.44726559375704,-4.02366171258325e-13,0.0,-0.7131561394312965,True,-2.027954099609815,ed
18,4,4,-1.0,1.8,-33.5256269691808,-7.722228918623367e-13,0.0,-0.7566790131997183,True,-2.0953516855738,ed
19,4,4,-1.0,1.9000000000000001,-34.68066033180964,5.349863796897155e-14,0.0,-0.7971907114216323,True,-2.1675412707381025,ed
20,4,4,-1.0,2.0,-35.90725762040889,8.840509267234883e-15,0.0,-0.8323428302711878,True,-2.2442036012755557,ed
21,4,4,-1.0,2.1,-37.1959748089205,1.7207192603847578e-14,0.0,-0.8610261573999769,True,-2.324748425557531,ed
22,4,4,-1.0,2.2,-38.53563525493297,1.6998423716638313e-14,0.0,-0.8835575525975337,True,-2.4084772034333106,ed
23,4,4,-1.0,2.3000000000000003,-39.91574820555947,-3.1510173897152986e-16,0.0,-0.9010195139635845,True,-2.4947342628474667,ed
24,4,4,-1.0,2.4000000000000004,-41.32765474048415,-3.4842428675555227e-15,0.0,-0.914607585572663,True,-2.5829784212802593,ed
25,4,4,-1.0,2.5,-42.76465479285487,-1.1375243091151216e-14,0.0,-0.9253250562820328,True,-2.6727909245534294,ed
26,4,4,-1.0,2.6,-44.22169464533962,-1.6900309921521284e-14,0.0,-0.9339246991646898,True,-2.763855915333726,ed
27,4,4,-1.0,2.7,-45.69497519423426,1.8405907132932267e-16,0.0,-0.9409468728188976,True,-2.8559359496396413,ed
28,4,4,-1.0,2.8000000000000003,-47.181617081816775,-2.5823259793046067e-15,0.0,-0.9467751689519796,True,-2.9488510676135484,ed
29,4,4,-1.0,2.9000000000000004,-48.67940843982311,9.09008510020133e-16,0.0,-0.951683400877559,True,-3.0424630274889446,ed
30,4,4,-1.0,3.0,-50.18662388277781,2.031364087192623e-15,0.0,-0.9558696883873254,True,-3.136663992673613,ed
31,4,4,-1.0,3.1,-51.70189658673124,1.3067619285856939e-15,0.0,-0.9594798350792538,True,-3.2313685366707023,ed
32,4,4,-1.0,3.2,-53.22412780193822,9.818716075594228e-15,0.0,-0.9626230790114665,True,-3.3265079876211385,ed
33,4,4,-1.0,3.3000000000000003,-54.752422272018165,2.2257543850416506e-15,0.0,-0.9653827072023844,True,-3.4220263920011353,ed
34,4,4,-1.0,3.4000000000000004,-56.2860415517534,-1.2840452219279852e-15,0.0,-0.9678232751098135,True,-3.5178775969845875,ed
35,4,4,-1.0,3.5,-57.8243697764036,-2.707784374760461e-16,0.0,-0.9699955845514356,True,-3.614023111025225,ed
36,4,4,-1.0,3.6,-59.366888190625126,2.8209350799571346e-15,0.0,-0.9719401701921975,True,-3.7104305119140704,ed
37,4,4,-1.0,3.7,-60.913155921639735,2.2254580025021663e-16,0.0,-0.9736897814834213,True,-3.8070722451024834,ed
38,4,4,-1.0,3.8000000000000003,-62.46279526604876,2.515789097279233e-16,0.0,-0.9752711781589011,True,-3.9039247041280474,ed
39,4,4,-1.0,3.9000000000000004,-64.01548028514061,-3.4688734250049707e-16,0.0,-0.9767064494284616,True,-4.000967517821288,ed
40,4,4,-1.0,4.0,-65.57092785839369,-3.2718090189948443e-16,0.0,-0.9780139975491374,True,-4.0981829911496055,ed
41,4,4,-1.0,4.1000000000000005,-67.1288905871824,-3.0048867667569798e-15,0.0,-0.9792092813148208,True,-4.1955556616989,ed
42,4,4,-1.0,4.2,-68.68915110819334,-2.5129017181034965e-16,0.0,-0.9803053853061386,True,-4.293071944262084,ed
43,4,4,-1.0,4.3,-70.25151749329892,-3.1410093663714673e-15,0.0,-0.9813134609374405,True,-4.3907198433311825,ed
44,4,4,-1.0,4.4,-71.81581949578695,-1.4108203654052687e-15,0.0,-0.9822430719458719,True,-4.488488718486685,ed
45,4,4,-1.0,4.5,-73.38190546250509,-9.328275932604147e-17,0.0,-0.9831024677858382,True,-4.586369091406568,ed
46,4,4,-1.0,4.6000000000000005,-74.94963977485406,-3.0964610483228703e-15,0.0,-0.9838988020108531,True,-4.684352485928379,ed
47,4,4,-1.0,4.7,-76.51890071341268,-1.5644416049931013e-16,0.0,-0.9846383082310213,True,-4.782431294588292,ed
48,4,4,-1.0,4.800000000000001,-78.08957866466392,7.692540029030202e-17,0.0,-0.9853264430298107,True,-4.880598666541495,ed
49,4,4,-1.0,4.9,-79.6615746060594,5.571052017358488e-16,0.0,-0.9859680029107781,True,-4.978848412878713,ed
50,4,4,-1.0,5.0,-81.23479881913491,1.9823861946303862e-16,0.0,-0.9865672206562079,True,-5.077174926195932,ed
