,nx,ny,J,h,energy,mx,mx_s,mz,max_chi,rel_energy_delta,rel_entropy_delta,mixer,energy_per_site,type
0,8,8,-1.0,0.0,-112.00000000000006,-1.0000000000000004,3.469446951953614e-18,4.453987484072174e-16,500,1e-08,1e-05,True,-1.7500000000000009,mps
1,8,8,-1.0,0.1,-112.09500777057897,-0.9995374170529582,-1.9081958235744878e-17,-0.029692356170768916,500,1e-08,1e-05,True,-1.7514844964152965,mps
2,8,8,-1.0,0.2,-112.38012426156854,0.9981455411122027,1.0755285551056204e-16,-0.059413817648219,500,1e-08,1e-05,True,-1.7559394415870084,mps
3,8,8,-1.0,0.30000000000000004,-112.85562850418394,-0.9958119398408185,2.2551405187698492e-17,-0.08919333162663791,500,1e-08,1e-05,True,-1.763369195377874,mps
4,8,8,-1.0,0.4,-113.52198386867998,-0.9925157193002745,-9.194034422677078e-17,-0.11905953109552062,500,1e-08,1e-05,True,-1.7737809979481247,mps
5,8,8,-1.0,0.5,-114.37983556232948,0.9882272525642456,-5.0306980803327406e-17,-0.14904058191931874,500,1e-08,1e-05,True,-1.787184930661398,mps
6,8,8,-1.0,0.6000000000000001,-115.43000715845388,0.9829077772194096,-3.469446951953614e-17,-0.17916403277336457,500,1e-08,1e-05,True,-1.8035938618508418,mps
7,8,8,-1.0,0.7000000000000001,-116.67349616947536,0.9765088389836066,-4.145989107584569e-16,-0.2094566660240983,500,1e-08,1e-05,True,-1.8230233776480524,mps
8,8,8,-1.0,0.8,-118.11146866060594,-0.9689715508737562,6.522560269672795e-16,-0.23994434649078342,500,1e-08,1e-05,True,-1.8454916978219678,mps
9,8,8,-1.0,0.9,-119.74525288008219,0.960225626965359,8.673617379884035e-18,-0.27065186487185144,500,1e-08,1e-05,True,-1.8710195762512842,mps
10,8,8,-1.0,1.0,-121.57633186443883,0.9501881345493429,-3.139849491518021e-16,-0.30160277388642504,500,1e-08,1e-05,True,-1.8996301853818567,mps
11,8,8,-1.0,1.1,-123.60633497326765,0.9387618851724644,4.371503159461554e-16,-0.332819218084373,500,1e-08,1e-05,True,-1.931348983957307,mps
12,8,8,-1.0,1.2000000000000002,-125.83702832759185,0.925833349014184,1.547373340571312e-15,-0.36432176277344125,500,1e-08,1e-05,True,-1.9662035676186227,mps
13,8,8,-1.0,1.3,-128.27030417881966,0.9112699214738597,5.637851296924623e-16,-0.3961292333041149,500,1e-08,1e-05,True,-2.004223502794057,mps
14,8,8,-1.0,1.4000000000000001,-130.90816932809557,-0.8949162850013391,-2.0747292772682613e-15,-0.4282585826096117,500,1e-08,1e-05,True,-2.0454401457514932,mps
15,8,8,-1.0,1.5,-133.7527328535272,0.8765894748906815,9.697104230710352e-16,-0.4607248122505739,500,1e-08,1e-05,True,-2.0898864508363624,mps
16,8,8,-1.0,1.6,-136.806193592017,0.856072041144651,3.5492442318485473e-15,-0.49354098142631186,500,1e-08,1e-05,True,-2.1375967748752656,mps
17,8,8,-1.0,1.7000000000000002,-140.07082808868455,-0.8331023310146178,-1.5834555888716295e-14,-0.5267183547220449,500,1e-08,1e-05,True,-2.188606688885696,mps
18,8,8,-1.0,1.8,-143.5489801586102,-0.8073602471423609,7.499209586647737e-15,-0.5602667791238676,500,1e-08,1e-05,True,-2.2429528149782842,mps
19,8,8,-1.0,1.9000000000000001,-147.24305407770646,-0.7784455004224363,1.3606477056171684e-13,-0.5941954911796832,500,1e-08,1e-05,True,-2.3006727199641634,mps
20,8,8,-1.0,2.0,-151.15552403125832,-0.08129314410151393,2.455898767119921e-09,-0.6285180309999852,500,1e-08,1e-05,True,-2.3618050629884113,mps
21,8,8,-1.0,2.1,-155.2889916161855,-0.0056774324017308435,2.7847986056500672e-09,-0.66326765994852,500,1e-08,1e-05,True,-2.4263904940028986,mps
