,nx,ny,J,h,energy,mx,mx_s,mz,max_chi,rel_energy_delta,rel_entropy_delta,mixer,energy_per_site,type
0,8,8,1.0,0.0,-112.0,0.0,-0.9999999999999992,2.5156054706621376e-16,500,1e-08,1e-05,True,-1.75,mps
1,8,8,1.0,0.1,-112.09500777057903,-6.245004513516506e-17,-0.9995374170529602,-0.029692356170766526,500,1e-08,1e-05,True,-1.7514844964152974,mps
2,8,8,1.0,0.2,-112.38012426156871,4.5102810375396984e-17,-0.9981455411122047,-0.05941381764821907,500,1e-08,1e-05,True,-1.755939441587011,mps
3,8,8,1.0,0.30000000000000004,-112.85562850418333,-2.0816681711721685e-16,-0.9958119398408155,-0.08919333162663896,500,1e-08,1e-05,True,-1.7633691953778645,mps
4,8,8,1.0,0.4,-113.52198386868008,7.806255641895632e-17,-0.9925157193002792,-0.11905953109552228,500,1e-08,1e-05,True,-1.7737809979481263,mps
5,8,8,1.0,0.5,-114.37983556232905,-3.139849491518021e-16,-0.9882272525642453,-0.149040581919324,500,1e-08,1e-05,True,-1.7871849306613914,mps
6,8,8,1.0,0.6000000000000001,-115.43000715845469,-1.9255430583342559e-16,0.9829077772194148,-0.1791640327733654,500,1e-08,1e-05,True,-1.8035938618508545,mps
7,8,8,1.0,0.7000000000000001,-116.67349616947517,-6.886852199627924e-16,0.9765088389836051,-0.20945666602409507,500,1e-08,1e-05,True,-1.8230233776480496,mps
8,8,8,1.0,0.8,-118.11146866060557,6.574601973952099e-16,-0.968971550873754,-0.23994434649078789,500,1e-08,1e-05,True,-1.845491697821962,mps
9,8,8,1.0,0.9,-119.74525288008259,-1.1622647289044608e-16,0.960225626965362,-0.27065186487185383,500,1e-08,1e-05,True,-1.8710195762512905,mps
10,8,8,1.0,1.0,-121.57633186443896,-1.8908485888147197e-16,0.950188134549344,-0.3016027738864275,500,1e-08,1e-05,True,-1.8996301853818587,mps
11,8,8,1.0,1.1,-123.60633497326842,5.100087019371813e-16,-0.9387618851724697,-0.3328192180843774,500,1e-08,1e-05,True,-1.931348983957319,mps
12,8,8,1.0,1.2000000000000002,-125.83702832759313,-1.7052331768852014e-15,-0.9258333490141889,-0.3643217627734424,500,1e-08,1e-05,True,-1.9662035676186427,mps
