,nx,ny,J,h,energy,mx,mx_s,mz,max_chi,rel_energy_delta,rel_entropy_delta,mixer,energy_per_site,type
0,7,7,-1.0,0.0,-83.99999999999986,-0.9999999999999989,-0.0204081632653061,-9.940702555140221e-17,500,1e-08,1e-05,True,-1.7142857142857113,mps
1,7,7,-1.0,0.1,-84.07458967588894,0.9995113836044696,0.020345193112829063,-0.030447353861727474,500,1e-08,1e-05,True,-1.715807952569162,mps
2,7,7,-1.0,0.2,-84.29843474307327,-0.9980409742379311,-0.020157438720652014,-0.06092572612536115,500,1e-08,1e-05,True,-1.7203762192463934,mps
3,7,7,-1.0,0.30000000000000004,-84.67176278759096,-0.9955750384784154,-0.019848332361337494,-0.0914659180666152,500,1e-08,1e-05,True,-1.7279951589304279,mps
4,7,7,-1.0,0.4,-85.19495135083343,-0.9920905073081424,-0.019423476395902202,-0.12209829921435648,500,1e-08,1e-05,True,-1.7386724765476211,mps
5,7,7,-1.0,0.5,-85.86852529607083,0.9875546932665107,0.018890471668034703,-0.1528525966317913,500,1e-08,1e-05,True,-1.7524188835932821,mps
6,7,7,-1.0,0.6000000000000001,-86.69315315148049,0.9819248689280735,0.018258687512994726,-0.18375768762636738,500,1e-08,1e-05,True,-1.7692480234996018,mps
7,7,7,-1.0,0.7000000000000001,-87.66964244114934,-0.9751476811402487,-0.017538981972535554,-0.2148413934148504,500,1e-08,1e-05,True,-1.7891763763499864,mps
8,7,7,-1.0,0.8,-88.79893399969409,0.9671583668017423,0.016743381420586505,-0.24613026991747403,500,1e-08,1e-05,True,-1.8122231428508997,mps
9,7,7,-1.0,0.9,-90.08209524677045,-0.9578797241305678,-0.015884728859454543,-0.2776493919042811,500,1e-08,1e-05,True,-1.8384101070769479,mps
10,7,7,-1.0,1.0,-91.52031238330832,-0.9472207754306249,-0.01497631020663393,-0.30942212872020275,500,1e-08,1e-05,True,-1.8677614772103739,mps
11,7,7,-1.0,1.1,-93.11488147196737,0.9350750291025653,0.014031468636259406,-0.34146991401376503,500,1e-08,1e-05,True,-1.900303703509538,mps
12,7,7,-1.0,1.2000000000000002,-94.86719839097479,-0.9213182039440162,-0.013063219032979474,-0.3738120182705598,500,1e-08,1e-05,True,-1.9360652732852,mps
13,7,7,-1.0,1.3,-96.77874771369125,0.9058052080738401,0.012083878003690433,-0.40646534156302067,500,1e-08,1e-05,True,-1.9750764839528825,mps
14,7,7,-1.0,1.4000000000000001,-98.85109067873765,0.8883660514116757,0.011104729060057366,-0.4394442557034305,500,1e-08,1e-05,True,-2.0173691975252583,mps
15,7,7,-1.0,1.5,-101.08585259952434,0.86880018239198,0.010135745909404862,-0.47276054333608575,500,1e-08,1e-05,True,-2.062976583663762,mps
16,7,7,-1.0,1.6,-103.48471036903268,0.8468684095568747,0.009185396635116208,-0.5064235156857515,500,1e-08,1e-05,True,-2.111932864674136,mps
17,7,7,-1.0,1.7000000000000002,-106.04938186909997,0.1552031622427142,0.0015591544305048654,-0.5404407520943285,500,1e-08,1e-05,True,-2.164273099369387,mps
18,7,7,-1.0,1.8,-108.7816212073255,0.013333738862618688,0.0001236002136258918,-0.5748202977577945,500,1e-08,1e-05,True,-2.220033085863786,mps
19,7,7,-1.0,1.9000000000000001,-111.68324119730156,0.0013846595763192648,1.1799129821240297e-05,-0.6095810467861731,500,1e-08,1e-05,True,-2.279249820353093,mps
20,7,7,-1.0,2.0,-114.75624332234013,-0.0017759038045227842,-1.3854773189802534e-05,-0.6447926457071582,500,1e-08,1e-05,True,-2.341964149435513,mps
21,7,7,-1.0,2.1,-118.00332507992017,-0.00014251449583328933,-1.0127567087901512e-06,-0.6807021795225555,500,1e-08,1e-05,True,-2.4082311240800034,mps
22,7,7,-1.0,2.2,-121.42935488224956,-4.9885460487536534e-06,-3.234885528044131e-08,-0.7180005129254293,500,1e-08,1e-05,True,-2.478150099637746,mps
23,7,7,-1.0,2.3000000000000003,-125.0439974517923,-2.599568994169856e-07,-1.4866509990498633e-09,-0.7578859546209218,500,1e-08,1e-05,True,-2.5519183153427,mps
24,7,7,-1.0,2.4000000000000004,-128.86105824159327,4.929391174389773e-09,2.4042776628529028e-11,-0.8002815542611582,500,1e-08,1e-05,True,-2.6298175151345564,mps
25,7,7,-1.0,2.5,-132.8829518560352,1.465000667339658e-10,7.458600722844465e-13,-0.8402704959709502,500,1e-08,1e-05,True,-2.7118969766537795,mps
26,7,7,-1.0,2.6,-137.08113202453643,-7.231170825532717e-12,-4.783198909982431e-13,-0.8715914892172478,500,1e-08,1e-05,True,-2.797574122949723,mps
27,7,7,-1.0,2.7,-141.40925535184087,1.0090449746578566e-12,-8.046415438884844e-14,-0.8936530708875356,500,1e-08,1e-05,True,-2.885903170445732,mps
28,7,7,-1.0,2.8000000000000003,-145.82832538545048,-1.3447437225838157e-14,-2.0476768311883957e-13,-0.9091956621994016,500,1e-08,1e-05,True,-2.9760882731724587,mps
29,7,7,-1.0,2.9000000000000004,-150.31273751233545,2.4729234153721395e-13,1.2956743116052127e-13,-0.9206423103033662,500,1e-08,1e-05,True,-3.067606888006846,mps
30,7,7,-1.0,3.0,-154.84638718798163,2.006174727951304e-13,-2.1613231076193955e-14,-0.9294770936908228,500,1e-08,1e-05,True,-3.1601303507751353,mps
31,7,7,-1.0,3.1,-159.4187666906311,-3.2203115764995154e-13,-3.066278497418319e-14,-0.9365581966075087,500,1e-08,1e-05,True,-3.2534442181761447,mps
32,7,7,-1.0,3.2,-164.02263918957948,2.723656291157998e-13,7.577218245053594e-15,-0.9423975426086026,500,1e-08,1e-05,True,-3.3474007997873363,mps
33,7,7,-1.0,3.3000000000000003,-168.65276605790248,-9.840686456652507e-14,-7.676588925002104e-14,-0.947317160114451,500,1e-08,1e-05,True,-3.441893184855153,mps
34,7,7,-1.0,3.4000000000000004,-173.30519745702674,4.452991862433856e-14,6.553921681690808e-15,-0.9515306542713947,500,1e-08,1e-05,True,-3.536840764429117,mps
35,7,7,-1.0,3.5,-177.97685773271212,6.152405239472259e-14,2.1196304888024247e-15,-0.9551864420890734,500,1e-08,1e-05,True,-3.6321807700553492,mps
36,7,7,-1.0,3.6,-182.66529021320028,-5.804723300699279e-15,9.648511152974184e-15,-0.9583917234925949,500,1e-08,1e-05,True,-3.727863065575516,mps
37,7,7,-1.0,3.7,-187.36849236672285,7.285654503919256e-15,2.8005467224622398e-14,-0.9612264390860507,500,1e-08,1e-05,True,-3.8238467829943437,mps
38,7,7,-1.0,3.8000000000000003,-192.08480473141768,-4.398175295256483e-14,-5.876365660213389e-15,-0.9637517882851351,500,1e-08,1e-05,True,-3.920098055743218,mps
39,7,7,-1.0,3.9000000000000004,-196.81283332392772,4.720241430393604e-15,9.111932397207476e-15,-0.9660156533800859,500,1e-08,1e-05,True,-4.016588435182198,mps
40,7,7,-1.0,4.0,-201.5513937487665,1.2876709767041805e-14,-1.5682830909975453e-14,-0.9680561851964304,500,1e-08,1e-05,True,-4.113293749974826,mps
41,7,7,-1.0,4.1000000000000005,-206.29946987927266,-1.0032829002197384e-14,1.735868687062926e-14,-0.9699042521084329,500,1e-08,1e-05,True,-4.210193262842299,mps
42,7,7,-1.0,4.2,-211.05618262760004,5.9729757861051115e-15,-1.2022343291237294e-15,-0.9715851608017183,500,1e-08,1e-05,True,-4.307269033216327,mps
43,7,7,-1.0,4.3,-215.82076588847008,2.2183877550679822e-14,8.333556120680189e-15,-0.9731198954727434,500,1e-08,1e-05,True,-4.404505426295308,mps
44,7,7,-1.0,4.4,-220.5925477030854,-2.659502632325779e-14,-4.895407014539876e-15,-0.9745260295748798,500,1e-08,1e-05,True,-4.501888728634396,mps
45,7,7,-1.0,4.5,-225.37093529892329,5.33922946474957e-15,-1.6290317865107728e-15,-0.9758184093408145,500,1e-08,1e-05,True,-4.599406842835169,mps
46,7,7,-1.0,4.6000000000000005,-230.15540305876794,5.5440154036440204e-15,1.9801177875883366e-15,-0.9770096747316255,500,1e-08,1e-05,True,-4.6970490420156725,mps
47,7,7,-1.0,4.7,-234.9454827381169,-1.6927102406490935e-15,-1.1805978570210657e-15,-0.9781106623122814,500,1e-08,1e-05,True,-4.7948057701656515,mps
48,7,7,-1.0,4.800000000000001,-239.7407554324389,-3.073811032005189e-15,5.955688494056281e-16,-0.9791307208809271,500,1e-08,1e-05,True,-4.8926684782130385,mps
49,7,7,-1.0,4.9,-244.54084492320246,-1.1765269900942085e-15,-2.015592710974876e-15,-0.9800779616291158,500,1e-08,1e-05,True,-4.990629488228621,mps
50,7,7,-1.0,5.0,-249.34541212218184,7.581785468433763e-16,5.457739870746454e-16,-0.9809594584890012,500,1e-08,1e-05,True,-5.088681880044527,mps
