,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,4,4,-1.0,0.0,-23.999999997599996,2,-0.9999999999000003,-1.3027281526465965e-29,2.7558297215327674e-16,-1.4999999998499998,mbr
1,4,4,-1.0,0.1,-24.028335803851544,2,-1.2197886107845959e-07,-7.907822867395885e-18,-0.035422395770872854,-1.5017709877407215,mbr
2,4,4,-1.0,0.2,-24.113356149998104,2,-4.168334150803047e-09,-6.809830773604408e-18,-0.07084840010866328,-1.5070847593748815,mbr
3,4,4,-1.0,0.30000000000000004,-24.254986667173224,2,-1.9758284374389073e-10,4.0582127243019824e-18,-0.10614750110004623,-1.5159366666983265,mbr
4,4,4,-1.0,0.4,-24.452791029282697,2,2.3743033682956015e-11,3.292837420917076e-17,-0.1409968539418036,-1.5282994393301685,mbr
5,4,4,-1.0,0.5,-24.70568837686996,2,1.2705217552140746e-11,-3.9828460322467456e-18,-0.17493039632110374,-1.5441055235543726,mbr
6,4,4,-1.0,0.6000000000000001,-25.011823624400645,2,1.2912922069950282e-11,2.2804659130103486e-17,-0.20747270791432948,-1.5632389765250403,mbr
7,4,4,-1.0,0.7000000000000001,-25.368678002657706,2,-5.2746253236139316e-14,-7.691305849715592e-17,-0.23829309610970573,-1.5855423751661066,mbr
8,4,4,-1.0,0.8,-25.773396977720562,2,4.264705683452544e-13,3.837849987714883e-17,-0.2673149569367084,-1.6108373111075351,mbr
9,4,4,-1.0,0.9,-26.22323767180289,2,6.163310915001346e-13,-3.0197380611412055e-17,-0.2947560520493427,-1.6389523544876807,mbr
10,4,4,-1.0,1.0,-26.716038032502393,2,1.4299548495385267e-13,5.477350429747174e-17,-0.3211219751214538,-1.6697523770313996,mbr
11,4,4,-1.0,1.1,-27.250668432871297,2,-1.1397460496993795e-13,-1.2385017349324495e-16,-0.34719911003381054,-1.703166777054456,mbr
12,4,4,-1.0,1.2000000000000002,-27.827505204560627,2,1.7899839878363002e-14,1.4788402869185761e-18,-0.37409757096487534,-1.7392190752850392,mbr
13,4,4,-1.0,1.3,-28.449048840268627,2,8.530246325300837e-14,-3.1970207022157754e-17,-0.40339940071645475,-1.7780655525167892,mbr
14,4,4,-1.0,1.4000000000000001,-29.120909666256633,2,8.770319474843688e-14,-1.3482562751198576e-17,-0.4374823115217836,-1.8200568541410396,mbr
15,4,4,-1.0,1.5,-29.853484890118956,2,3.8947060396585427e-16,-2.6549755630271577e-17,-0.4800507221558588,-1.8658428056324348,mbr
16,4,4,-1.0,1.6,-30.66442934827261,2,-2.2321339852390734e-14,2.790167191985503e-17,-0.5364194176330248,-1.916526834267038,mbr
17,4,4,-1.0,1.7000000000000002,-31.57994388850032,2,-1.32467904925008e-15,-4.06957031758561e-18,-0.6110592121540496,-1.97374649303127,mbr
18,4,4,-1.0,1.8,-32.62702265178557,2,-1.851473509830927e-15,4.703314118431694e-17,-0.6985772677325369,-2.0391889157365983,mbr
19,4,4,-1.0,1.9000000000000001,-33.81169119179244,2,1.4483160255211152e-15,-3.5977078222567055e-18,-0.7793662944401062,-2.1132306994870276,mbr
20,4,4,-1.0,2.0,-35.10903979378374,2,-2.5891000228557283e-15,2.3967444759932992e-17,-0.8383936697684591,-2.1943149871114835,mbr
21,4,4,-1.0,2.1,-36.48339085343956,2,4.204739266646779e-16,-1.889835593151639e-17,-0.8766570185151099,-2.2802119283399724,mbr
22,4,4,-1.0,2.2,-37.90703432510004,2,4.461873122119763e-16,-2.629211658459402e-19,-0.9011443988777469,-2.3691896453187526,mbr
23,4,4,-1.0,2.3000000000000003,-39.36272757136896,2,-6.157546335108741e-16,8.651278614995376e-18,-0.917443020007107,-2.46017047321056,mbr
24,4,4,-1.0,2.4000000000000004,-40.84028896622271,2,2.0238153888940177e-15,-1.8453888462847896e-17,-0.9288883609173937,-2.5525180603889193,mbr
25,4,4,-1.0,2.5,-42.33359295238382,2,-6.813849736453113e-16,-1.045064741232306e-17,-0.9373503117924845,-2.6458495595239886,mbr
26,4,4,-1.0,2.6,-43.83879154532256,2,-7.927273716518983e-16,-1.3149890162113957e-17,-0.9438888215780282,-2.73992447158266,mbr
27,4,4,-1.0,2.7,-45.3533475343992,2,1.260315836254194e-15,-2.372609217625564e-17,-0.9491265512719891,-2.83458422089995,mbr
28,4,4,-1.0,2.8000000000000003,-46.875508623069784,2,-3.49457478200959e-16,-2.1787016312769508e-17,-0.9534450804879679,-2.9297192889418615,mbr
29,4,4,-1.0,2.9000000000000004,-48.40401304022132,2,-1.059811536335844e-15,5.519071401133883e-18,-0.9570883179312358,-3.0252508150138326,mbr
30,4,4,-1.0,3.0,-49.937918461023855,2,5.508219435599044e-16,1.0326187213680211e-17,-0.9602184643067667,-3.121119903813991,mbr
31,4,4,-1.0,3.1,-51.476498682296715,2,-3.007288344459773e-16,-2.502117132735516e-18,-0.9629473588903823,-3.2172811676435447,mbr
32,4,4,-1.0,3.2,-53.019178871394814,2,-2.3523099593167658e-15,1.1448675530992353e-17,-0.9653546776877219,-3.313698679462176,mbr
33,4,4,-1.0,3.3000000000000003,-54.565493568546835,2,-4.275362681574335e-16,-1.4565397547682184e-17,-0.9674988701263834,-3.410343348034177,mbr
34,4,4,-1.0,3.4000000000000004,-56.115058571386285,2,-1.8818292825161545e-15,1.9047730268279245e-17,-0.9694239485069999,-3.507191160711643,mbr
35,4,4,-1.0,3.5,-57.667551559654385,2,-6.767811859314297e-16,4.081608570796782e-19,-0.9711638315061458,-3.604221972478399,mbr
