,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,7,7,1.0,0.0,-83.9999999916,2,0.020408163263265305,0.9999999999,-5.751982882449567e-31,-1.7142857141142858,mbr
1,7,7,1.0,0.1,-84.07458408204987,2,0.020345228538864276,0.9995115824978783,-0.030440556460311304,-1.715807838409181,mbr
2,7,7,1.0,0.2,-84.29809658766918,2,0.00013204849071170394,0.0065374280343875,-0.06072384045059307,-1.7203693181156976,mbr
3,7,7,1.0,0.30000000000000004,-84.6682549370475,2,-7.651338540783812e-06,-0.00038343822778007496,-0.09011452880344326,-1.7279235701438265,mbr
4,7,7,1.0,0.4,-85.1776447976329,2,5.866160715190766e-06,0.0002983801658931795,-0.11731921178926985,-1.7383192815843447,mbr
5,7,7,1.0,0.5,-85.81235680410212,2,1.9578028669574122e-07,1.010889029069412e-05,-0.14110290671948675,-1.751272587838819,mbr
6,7,7,1.0,0.6000000000000001,-86.553847471633,2,5.215817483730442e-07,2.7280017754545402e-05,-0.16086733912526313,-1.7664050504414899,mbr
7,7,7,1.0,0.7000000000000001,-87.38244920200037,2,2.4242829356701316e-07,1.2801012922118292e-05,-0.1767228355815433,-1.7833152898367424,mbr
8,7,7,1.0,0.8,-88.28021433538059,2,6.225042119005022e-08,3.3070869149611844e-06,-0.18920411523895084,-1.8016370272526652,mbr
9,7,7,1.0,0.9,-89.23221620617592,2,-1.560986600581003e-07,-8.3190433484523e-06,-0.19896900994535732,-1.821065636860733,mbr
10,7,7,1.0,1.0,-90.22667383757027,2,3.3394595392936515e-08,1.7813934655064115e-06,-0.2066258466265285,-1.8413606905626587,mbr
11,7,7,1.0,1.1,-91.25452580742949,2,4.534199238652206e-08,2.4172509733646808e-06,-0.21267248996681648,-1.862337261376112,mbr
12,7,7,1.0,1.2000000000000002,-92.3088674997006,2,-1.4260851234112824e-08,-7.590370889689894e-07,-0.2174934577692919,-1.8838544387693998,mbr
13,7,7,1.0,1.3,-93.38443623415253,2,2.4862463052238183e-09,1.3203422681821975e-07,-0.22137802920264593,-1.9058048211051537,mbr
14,7,7,1.0,1.4000000000000001,-94.47719787252197,2,1.2443248114552695e-08,6.590945471825542e-07,-0.22454182075602555,-1.9281060790310607,mbr
15,7,7,1.0,1.5,-95.58403348059844,2,5.296299752576208e-09,2.797594815802033e-07,-0.22714555139309525,-1.9506945608285395,mbr
16,7,7,1.0,1.6,-96.7025077840391,2,6.123833461971937e-09,3.225619835154599e-07,-0.2293096425983738,-1.9735205670212062,mbr
17,7,7,1.0,1.7000000000000002,-97.83069960973748,2,3.747768481133183e-09,1.9685794455453268e-07,-0.23112504125672162,-1.9965448899946425,mbr
18,7,7,1.0,1.8,-98.96707775914301,2,1.773598093855785e-09,9.290934212022812e-08,-0.2326610813960304,-2.019736280798837,mbr
19,7,7,1.0,1.9000000000000001,-100.11041023387668,2,-6.240400136794469e-10,-3.2605159651635914e-08,-0.2339721871047802,-2.0430695966097283,mbr
20,7,7,1.0,2.0,-104.39970958196483,2,-3.848864789780794e-18,-1.1854188369081365e-16,-0.9714474819468013,-2.1306063179992822,mbr
21,7,7,1.0,2.1,-109.16196581905858,2,1.881080223220621e-18,-4.707971654377392e-16,-0.9723264402476034,-2.227795220797114,mbr
22,7,7,1.0,2.2,-113.92846815349503,2,9.451978725138133e-18,-4.886552663316058e-16,-0.9731805765057951,-2.325070778642756,mbr
23,7,7,1.0,2.3000000000000003,-118.6990949024507,2,1.9701695084637788e-18,5.754580894795856e-16,-0.9740098792206549,-2.4224305082132793,mbr
24,7,7,1.0,2.4000000000000004,-123.4737245203084,2,1.7195854919777574e-17,7.6360016436194405e-16,-0.9748144197528061,-2.5198719289858857,mbr
25,7,7,1.0,2.5,-128.25223602241707,2,-5.259073590796849e-18,-7.778598974915201e-16,-0.9755943545171671,-2.6173925718860627,mbr
26,7,7,1.0,2.6,-133.03450938259905,2,1.2651777110390173e-17,3.9577384247724646e-16,-0.9763499168776867,-2.7149899873999805,mbr
27,7,7,1.0,2.7,-137.82042588905483,2,4.685302381535222e-18,1.6510849694657656e-16,-0.9770814085206029,-2.8126617528378537,mbr
28,7,7,1.0,2.8000000000000003,-142.609868458351,2,-2.7335747562429183e-18,1.8024774497269452e-16,-0.9777891910218828,-2.910405478741857,mbr
29,7,7,1.0,2.9000000000000004,-147.40272190895047,2,-7.194953745650082e-18,-6.078576937418162e-16,-0.978473677779058,-3.008218814468377,mbr
30,7,7,1.0,3.0,-152.19887319626153,2,-4.174493359617894e-18,2.3754186090317964e-16,-0.9791353263872428,-3.106099452984929,mbr
31,7,7,1.0,3.1,-156.99821161152684,2,-5.449886161176369e-18,9.471576686946428e-17,-0.9797746315070208,-3.2040451349291192,mbr
32,7,7,1.0,3.2,-161.8006289470281,2,-3.545019905654145e-18,8.91493675409114e-16,-0.9803921182523392,-3.302053651980165,mbr
33,7,7,1.0,3.3000000000000003,-166.60601963019752,2,5.2533300618059026e-18,3.051782772483166e-16,-0.9809883361118374,-3.400122849595868,mbr
34,7,7,1.0,3.4000000000000004,-171.41428082925097,2,-8.936280190936077e-18,-3.871220644140486e-16,-0.9815638534051521,-3.4982506291683872,mbr
35,7,7,1.0,3.5,-176.22531253295824,2,-6.781384631967097e-18,5.855931990525428e-16,-0.9821192522663125,-3.5964349496522092,mbr
36,7,7,1.0,3.6,-181.03901760709368,2,-4.992418041219711e-18,1.6918490729005522e-15,-0.9826551241387063,-3.6946738287161978,mbr
37,7,7,1.0,3.7,-185.85530183001626,2,-3.7591792268939025e-18,-5.2239156852036965e-17,-0.9831720657603737,-3.7929653434697195,mbr
38,7,7,1.0,3.8000000000000003,-190.6740739097351,2,-1.1979454872781134e-17,-7.126705638417887e-16,-0.9836706756141497,-3.8913076308109207,mbr
39,7,7,1.0,3.9000000000000004,-195.4952454846578,2,2.2462592775162034e-17,-4.702679968976666e-16,-0.9841515508142027,-3.989698887441996,mbr
40,7,7,1.0,4.0,-200.3187311100935,2,2.293185079350589e-18,5.095291057208421e-16,-0.9846152843987523,-4.088137369593745,mbr
41,7,7,1.0,4.1000000000000005,-205.14444823241567,2,-1.0089024593619507e-17,-2.04904766847896e-15,-0.985062462997838,-4.186621392498279,mbr
42,7,7,1.0,4.2,-209.97231715266028,2,1.456336935348531e-17,1.683810968127169e-15,-0.9854936648448926,-4.285149329646128,mbr
43,7,7,1.0,4.3,-214.80226098115634,2,-7.031081634725648e-18,-4.200287828328382e-16,-0.9859094581013399,-4.383719611860333,mbr
44,7,7,1.0,4.4,-219.6342055846489,2,-1.4988615306531254e-17,1.878269984875964e-15,-0.9863103994643756,-4.482330726217325,mbr
45,7,7,1.0,4.5,-224.4680795272408,2,1.9992347937142585e-17,3.5391959925188793e-15,-0.986697033029358,-4.580981214841649,mbr
46,7,7,1.0,4.6000000000000005,-229.3038140063279,2,-4.024167988328231e-17,-1.26707807825223e-16,-0.987069889379788,-4.679669673598529,mbr
47,7,7,1.0,4.7,-234.14134278457732,2,-3.015594444895491e-17,-1.3828426806170994e-15,-0.9874294848794907,-4.77839475070566,mbr
48,7,7,1.0,4.800000000000001,-238.98060211888648,2,-2.6955690565369925e-17,-2.753935974998629e-15,-0.9877763211434426,-4.877155145283398,mbr
49,7,7,1.0,4.9,-243.82153068714112,2,-1.670624404045263e-17,2.740086655795181e-16,-0.9881108846654988,-4.9759496058600226,mbr
50,7,7,1.0,5.0,-248.66406951349708,2,-2.7354305424985524e-17,-9.253106707896396e-16,-0.9884336465830327,-5.074776928846879,mbr
