,nx,ny,J,h,energy,mx,mx_s,mz,max_chi,rel_energy_delta,rel_entropy_delta,mixer,energy_per_site,type
0,4,4,-1.0,0.0,-24.00000000000001,0.9999999999999999,0.0,-1.457834159362189e-16,500,1e-08,1e-05,True,-1.5000000000000007,mps
1,4,4,-1.0,0.1,-24.028336173194553,-0.9993309677389919,6.245004513516506e-17,-0.035423764356916666,500,1e-08,1e-05,True,-1.5017710108246596,mps
2,4,4,-1.0,0.2,-24.11337869627551,-0.9973163096975257,0.0,-0.07088997508795851,500,1e-08,1e-05,True,-1.5070861685172194,mps
3,4,4,-1.0,0.30000000000000004,-24.255229030209936,0.9939332810303698,2.7755575615628914e-17,-0.10644039913678686,500,1e-08,1e-05,True,-1.515951814388121,mps
4,4,4,-1.0,0.4,-24.454054514928767,-0.9891437391203025,6.938893903907228e-17,-0.1421155304251809,500,1e-08,1e-05,True,-1.528378407183048,mps
5,4,4,-1.0,0.5,-24.710085956696634,-0.0032541157651283055,1.8399100602459195e-14,-0.17795414992382924,500,1e-08,1e-05,True,-1.5443803722935396,mps
6,4,4,-1.0,0.6000000000000001,-25.023614664807177,0.00011413826367305946,9.435735274176092e-16,-0.21399308525909708,500,1e-08,1e-05,True,-1.5639759165504485,mps
7,4,4,-1.0,0.7000000000000001,-25.3949893175794,7.486114012239628e-05,-1.507876626227647e-13,-0.2502672653138262,500,1e-08,1e-05,True,-1.5871868323487126,mps
8,4,4,-1.0,0.8,-25.824613369970443,-4.1470624235370253e-08,-7.652127491948933e-17,-0.28681045895370866,500,1e-08,1e-05,True,-1.6140383356231527,mps
9,4,4,-1.0,0.9,-26.31294495524057,-7.893506463618982e-08,-1.3013424468852021e-14,-0.3236579907780388,500,1e-08,1e-05,True,-1.6445590597025357,mps
10,4,4,-1.0,1.0,-26.860504639527896,2.8187468747981186e-10,5.2763720173156363e-17,-0.3608545689644136,500,1e-08,1e-05,True,-1.6787815399704935,mps
11,4,4,-1.0,1.1,-27.467903410996183,-1.1197719706998427e-11,2.9661619100749644e-16,-0.3984728934692272,500,1e-08,1e-05,True,-1.7167439631872614,mps
12,4,4,-1.0,1.2000000000000002,-28.135913808031514,-4.0494708433423445e-11,-5.747199998399811e-17,-0.4366500383706882,500,1e-08,1e-05,True,-1.7584946130019696,mps
13,4,4,-1.0,1.3,-28.865615847206737,1.3216934993688996e-12,-1.26892104224416e-16,-0.47564398211060943,500,1e-08,1e-05,True,-1.804100990450421,mps
14,4,4,-1.0,1.4000000000000001,-29.658640564115725,1.0745607840910218e-12,1.7679922291537528e-16,-0.5158934827348568,500,1e-08,1e-05,True,-1.8536650352572328,mps
15,4,4,-1.0,1.5,-30.51747487306575,1.1122933677817542e-12,1.505293760554247e-17,-0.5580188938871576,500,1e-08,1e-05,True,-1.9073421795666095,mps
16,4,4,-1.0,1.6,-31.44563526803199,6.522775168711063e-14,2.0356957670854527e-16,-0.6026289155757276,500,1e-08,1e-05,True,-1.9653522042519993,mps
17,4,4,-1.0,1.7000000000000002,-32.44726559375711,1.6535202875562624e-13,3.145179192563454e-17,-0.6497768608817321,500,1e-08,1e-05,True,-2.0279540996098193,mps
18,4,4,-1.0,1.8,-33.5256269691809,-8.583752463364045e-15,2.921997290363573e-16,-0.6981902392528371,500,1e-08,1e-05,True,-2.095351685573806,mps
19,4,4,-1.0,1.9000000000000001,-34.68066033180961,-6.42025491600335e-14,3.592842215163593e-17,-0.7450608090690222,500,1e-08,1e-05,True,-2.1675412707381008,mps
20,4,4,-1.0,2.0,-35.907257620409034,-1.420106476688118e-14,8.041644063049006e-16,-0.7871709308000489,500,1e-08,1e-05,True,-2.2442036012755646,mps
21,4,4,-1.0,2.1,-37.19597480892044,-1.031264145705973e-14,6.217339609030996e-17,-0.8225345452493172,500,1e-08,1e-05,True,-2.3247484255575275,mps
22,4,4,-1.0,2.2,-38.53563525493296,-7.651028684958474e-15,-7.380112665824139e-17,-0.8509370184134033,500,1e-08,1e-05,True,-2.40847720343331,mps
23,4,4,-1.0,2.3000000000000003,-39.9157482055595,1.2771052950040118e-14,-6.36456395376879e-16,-0.8733018533902867,500,1e-08,1e-05,True,-2.494734262847469,mps
24,4,4,-1.0,2.4000000000000004,-41.327654740484476,4.0437557913345176e-15,-4.1664411973262205e-17,-0.8908871614868039,500,1e-08,1e-05,True,-2.5829784212802798,mps
25,4,4,-1.0,2.5,-42.76465479285498,1.3129800369077241e-15,4.600009395583566e-16,-0.9048407251699907,500,1e-08,1e-05,True,-2.672790924553436,mps
26,4,4,-1.0,2.6,-44.221694645339454,-1.984824842023174e-15,-4.481102039770873e-16,-0.9160668597653833,500,1e-08,1e-05,True,-2.763855915333716,mps
27,4,4,-1.0,2.7,-45.694975194234445,-4.5008275359319175e-15,-2.841405128416896e-16,-0.9252364976372999,500,1e-08,1e-05,True,-2.855935949639653,mps
28,4,4,-1.0,2.8000000000000003,-47.18161708181662,-4.1180517488746974e-15,-8.553952643096091e-16,-0.9328373155949575,500,1e-08,1e-05,True,-2.9488510676135387,mps
29,4,4,-1.0,2.9000000000000004,-48.67940843982314,-1.2542391434901427e-16,2.5463601650911587e-16,-0.9392234632906735,500,1e-08,1e-05,True,-3.0424630274889464,mps
30,4,4,-1.0,3.0,-50.186623882777795,-6.4866358969857096e-15,-3.274575228831741e-16,-0.944654388546381,500,1e-08,1e-05,True,-3.136663992673612,mps
31,4,4,-1.0,3.1,-51.70189658673129,8.813147296608711e-16,1.2388119759678814e-15,-0.9493226993516977,500,1e-08,1e-05,True,-3.2313685366707054,mps
32,4,4,-1.0,3.2,-53.224127801938394,-1.7564558135847535e-15,1.9025785832155347e-16,-0.9533735421520697,500,1e-08,1e-05,True,-3.3265079876211496,mps
33,4,4,-1.0,3.3000000000000003,-54.75242227201839,7.608482769684593e-16,5.882750203412259e-17,-0.9569179752878868,500,1e-08,1e-05,True,-3.4220263920011496,mps
34,4,4,-1.0,3.4000000000000004,-56.28604155175371,6.0790653238829805e-15,-3.9680056345682695e-16,-0.9600422334792971,500,1e-08,1e-05,True,-3.517877596984607,mps
35,4,4,-1.0,3.5,-57.82436977640379,-5.4340394090608914e-15,-3.673767858260055e-16,-0.9628142080849913,500,1e-08,1e-05,True,-3.614023111025237,mps
36,4,4,-1.0,3.6,-59.366888190625176,-2.9406753003491257e-15,1.7826411116179474e-16,-0.9652880369541035,500,1e-08,1e-05,True,-3.7104305119140735,mps
37,4,4,-1.0,3.7,-60.91315592163979,-1.2589123434529108e-15,-3.404905953716136e-16,-0.9675074002706716,500,1e-08,1e-05,True,-3.807072245102487,mps
38,4,4,-1.0,3.8000000000000003,-62.462795266048985,2.260325279029871e-15,2.811724078337301e-16,-0.9695079205974195,500,1e-08,1e-05,True,-3.9039247041280616,mps
39,4,4,-1.0,3.9000000000000004,-64.01548028514098,1.0123409396964538e-15,-2.7167358119548397e-16,-0.9713189348227509,500,1e-08,1e-05,True,-4.000967517821311,mps
40,4,4,-1.0,4.0,-65.5709278583938,1.9522943524645873e-15,1.1772287348649503e-16,-0.9729648198156631,500,1e-08,1e-05,True,-4.098182991149613,mps
41,4,4,-1.0,4.1000000000000005,-67.12889058718248,3.8354335452339214e-16,1.6375253859752488e-16,-0.9744659967248288,500,1e-08,1e-05,True,-4.195555661698905,mps
42,4,4,-1.0,4.2,-68.68915110819326,1.58791412377624e-15,1.6216641724224315e-15,-0.975839700862801,500,1e-08,1e-05,True,-4.293071944262079,mps
43,4,4,-1.0,4.3,-70.25151749329895,1.724327463946351e-15,-1.9393970228188817e-16,-0.9771005784508584,500,1e-08,1e-05,True,-4.390719843331184,mps
44,4,4,-1.0,4.4,-71.8158194957871,-3.2933238432527663e-15,-5.336542872980352e-16,-0.9782611539575142,500,1e-08,1e-05,True,-4.4884887184866935,mps
45,4,4,-1.0,4.5,-73.38190546250486,-1.7164160164874711e-15,-6.461321346933682e-16,-0.9793321996263297,500,1e-08,1e-05,True,-4.586369091406554,mps
46,4,4,-1.0,4.6000000000000005,-74.94963977485385,5.558130298539273e-16,-1.5703867265575206e-16,-0.9803230302895387,500,1e-08,1e-05,True,-4.684352485928366,mps
47,4,4,-1.0,4.7,-76.51890071341272,1.7626084012994702e-15,-6.438830268765765e-16,-0.9812417405405048,500,1e-08,1e-05,True,-4.782431294588295,mps
48,4,4,-1.0,4.800000000000001,-78.08957866466407,2.1828286639941454e-15,3.745784464439512e-16,-0.982095397020882,500,1e-08,1e-05,True,-4.880598666541505,mps
