,nx,ny,J,h,energy,degree,mx,mx_s,mz,energy_per_site,type
0,6,6,1.0,0.0,-59.99999999400004,1,-1.015168917429216e-30,-0.9999999999000002,2.898548136992959e-16,-1.6666666665000012,mbr
1,6,6,1.0,0.1,-60.05614166765558,1,-3.0055351287307804e-18,0.0008009941365637139,-0.03090368230516635,-1.6682261574348773,mbr
2,6,6,1.0,0.2,-60.21871252800154,1,-2.1492928241421569e-19,-2.959784081814137e-05,-0.058698214645520566,-1.6727420146667094,mbr
3,6,6,1.0,0.30000000000000004,-60.47290399602797,1,1.3956363495850113e-17,4.987217997370919e-07,-0.08166084933149546,-1.6798028887785548,mbr
4,6,6,1.0,0.4,-60.800638799863215,1,-9.50852348314727e-18,2.921460590602944e-06,-0.09962568650697533,-1.6889066333295337,mbr
5,6,6,1.0,0.5,-61.185062033803995,1,-9.97535694532566e-18,-4.984551872689892e-07,-0.1133075309114372,-1.6995850564945554,mbr
6,6,6,1.0,0.6000000000000001,-61.612450499232274,1,6.580976936525066e-18,-5.8451023329173496e-08,-0.12364981046948631,-1.7114569583120076,mbr
7,6,6,1.0,0.7000000000000001,-62.072357775140375,1,1.948298083563642e-17,4.615709859372964e-08,-0.13149979583571222,-1.724232160420566,mbr
8,6,6,1.0,0.8,-62.557059056920686,1,-2.963200356603475e-17,-1.4197180763296817e-07,-0.1375188994657666,-1.7376960849144636,mbr
9,6,6,1.0,0.9,-63.060886239794016,1,-1.1294865916231253e-18,-7.999716127236041e-08,-0.1421937882047775,-1.7516912844387227,mbr
10,6,6,1.0,1.0,-63.57966528165121,1,2.413648091212597e-17,3.0724084878676004e-07,-0.1458745241583129,-1.7661018133792004,mbr
11,6,6,1.0,1.1,-64.11029339896673,1,3.371661509506914e-17,9.95585093311995e-08,-0.1488117700378468,-1.7808414833046315,mbr
12,6,6,1.0,1.2000000000000002,-64.65043619087155,1,-1.0642519708060115e-17,-1.1531297210684122e-08,-0.15118586616724294,-1.7958454497464318,mbr
13,6,6,1.0,1.3,-65.19831439255749,1,-7.351359895473191e-18,-4.8331946574624625e-08,-0.15312778624866435,-1.8110642886821526,mbr
14,6,6,1.0,1.4000000000000001,-65.75255409109106,1,-2.2001941353689777e-17,-6.372813594268091e-08,-0.15473376333995792,-1.8264598358636404,mbr
15,6,6,1.0,1.5,-66.31208097305897,1,-1.0568587385704566e-17,1.1023915205215289e-08,-0.1560753979796521,-1.842002249251638,mbr
16,6,6,1.0,1.6,-66.8760450170404,1,-2.5357536873951004e-19,-1.1481522765491393e-08,-0.15720666566314057,-1.857667917140011,mbr
17,6,6,1.0,1.7000000000000002,-67.44376647004525,1,-7.088469506901918e-20,-9.61251420526866e-09,-0.15816889976043189,-1.873437957501257,mbr
18,6,6,1.0,1.8,-68.01469809184539,1,-8.728268704509474e-18,4.644363372917871e-09,-0.1589953555810723,-1.8892971692179275,mbr
19,6,6,1.0,1.9000000000000001,-68.58847551640687,1,-1.012859951374305e-17,-7.462986433270043e-11,-0.15992032583678348,-1.905235431011302,mbr
20,6,6,1.0,2.0,-72.00000064356762,1,-1.1348506095563958e-16,8.253588752050172e-15,-0.9999998215421085,-2.000000017876878,mbr
21,6,6,1.0,2.1,-75.6000003292047,1,5.375192541801526e-17,-1.7237246652402767e-15,-0.9999999568989648,-2.100000009144575,mbr
22,6,6,1.0,2.2,-79.20000022529165,1,9.122047625875035e-17,-3.657586059016054e-15,-0.9999999805718423,-2.2000000062581013,mbr
23,6,6,1.0,2.3000000000000003,-82.80000017226472,1,9.439080971776851e-17,2.5526201861841347e-15,-0.9999999887973156,-2.3000000047851312,mbr
24,6,6,1.0,2.4000000000000004,-86.40000013959063,1,3.2823038384264533e-17,-1.1678668759543572e-15,-0.9999999926311756,-2.4000000038775173,mbr
25,6,6,1.0,2.5,-90.00000011719565,1,1.3725893287389624e-16,-2.835142256173636e-16,-0.9999999947403434,-2.500000003255435,mbr
26,6,6,1.0,2.6,-93.60000010075746,1,7.361757153003445e-17,-4.373974536781103e-15,-0.9999999960313397,-2.600000002798818,mbr
27,6,6,1.0,2.7,-97.20000008810061,1,-3.535082681496501e-17,1.8236308019408746e-15,-0.9999999968825368,-2.700000002447239,mbr
28,6,6,1.0,2.8000000000000003,-100.8000000780048,1,-8.985121430251143e-17,4.1844811605233825e-16,-0.9999999974753205,-2.8000000021668,mbr
29,6,6,1.0,2.9000000000000004,-104.40000006972976,1,4.929662487075132e-17,1.8907053047032463e-15,-0.9999999979058061,-2.9000000019369376,mbr
30,6,6,1.0,3.0,-108.00000006279859,1,7.537912576643513e-17,-4.1839974898248466e-16,-0.999999998228948,-3.0000000017444055,mbr
31,6,6,1.0,3.1,-111.60000005688978,1,3.8474615264767124e-17,5.698138523975067e-16,-0.9999999984781002,-3.1000000015802716,mbr
32,6,6,1.0,3.2,-115.2000000517779,1,-6.698717146034223e-17,1.3198565134810962e-15,-0.9999999986745021,-3.200000001438275,mbr
33,6,6,1.0,3.3000000000000003,-118.80000004730003,1,-1.5179542457451664e-16,-4.138450112352705e-16,-0.9999999988322263,-3.3000000013138897,mbr
34,6,6,1.0,3.4000000000000004,-122.40000004333517,1,-7.642869391940429e-17,-1.8906136585930977e-16,-0.9999999989609107,-3.400000001203755,mbr
35,6,6,1.0,3.5,-126.000000039792,1,-1.2806049505790563e-16,1.5672087322269468e-16,-0.999999999067346,-3.500000001105333,mbr
36,6,6,1.0,3.6,-129.60000003659917,1,-1.2007449013701471e-16,5.80925995963402e-16,-0.9999999991564313,-3.6000000010166437,mbr
37,6,6,1.0,3.7,-133.2000000337018,1,-5.04071096625398e-17,-7.31946283294101e-17,-0.9999999992317791,-3.700000000936161,mbr
38,6,6,1.0,3.8000000000000003,-136.80000003105496,1,-6.507993379041552e-17,-8.293359970722887e-18,-0.9999999992961014,-3.800000000862638,mbr
39,6,6,1.0,3.9000000000000004,-140.400000028623,1,1.1085416426546667e-17,1.067672495182656e-16,-0.9999999993514673,-3.9000000007950835,mbr
40,6,6,1.0,4.0,-144.00000002637668,1,4.86810493947807e-17,-3.057158801653101e-16,-0.9999999993994799,-4.000000000732686,mbr
41,6,6,1.0,4.1000000000000005,-147.60000002429186,1,1.7798862022492038e-17,-2.870732365723707e-16,-0.9999999994413956,-4.100000000674774,mbr
42,6,6,1.0,4.2,-151.2000000223486,1,-6.453210554705172e-17,-8.346257479614954e-16,-0.9999999994782127,-4.200000000620794,mbr
43,6,6,1.0,4.3,-154.80000002052998,1,-6.55184596769947e-17,-5.688991357458438e-16,-0.9999999995107318,-4.300000000570277,mbr
44,6,6,1.0,4.4,-158.40000001882157,1,1.2204475706240607e-16,-8.563242888718658e-16,-0.9999999995396013,-4.400000000522821,mbr
45,6,6,1.0,4.5,-162.00000001721128,1,4.667461708059758e-17,6.336835902825482e-16,-0.9999999995653511,-4.500000000478091,mbr
46,6,6,1.0,4.6000000000000005,-165.6000000156887,1,5.08302414176326e-17,1.7182391677920791e-15,-0.9999999995884171,-4.600000000435797,mbr
47,6,6,1.0,4.7,-169.20000001424518,1,-4.2895800285402076e-17,1.1504890390001306e-16,-0.9999999996091632,-4.7000000003957,mbr
48,6,6,1.0,4.800000000000001,-172.80000001287223,1,-1.554952741057631e-17,5.10234460832624e-16,-0.9999999996278911,-4.800000000357562,mbr
49,6,6,1.0,4.9,-176.4000000115638,1,-3.3960143997691995e-17,1.027358099229379e-15,-0.9999999996448558,-4.900000000321217,mbr
50,6,6,1.0,5.0,-180.0000000103135,1,-1.5147571108118766e-17,1.3599571907054769e-16,-0.9999999996602735,-5.000000000286486,mbr
